Datum,1NPPD-143
10.4.2008. 00:00:00,88.83
20.4.2008. 00:00:00,88.85
1.5.2008. 00:00:00,88.85
10.5.2008. 00:00:00,88.84
20.5.2008. 00:00:00,88.77
1.6.2008. 00:00:00,88.73
10.6.2008. 00:00:00,88.69
20.6.2008. 00:00:00,88.63
1.7.2008. 00:00:00,88.58
10.7.2008. 00:00:00,88.55
20.7.2008. 00:00:00,88.5
1.8.2008. 00:00:00,88.44
10.8.2008. 00:00:00,88.39
20.8.2008. 00:00:00,88.35
1.9.2008. 00:00:00,88.3
10.9.2008. 00:00:00,88.27
20.9.2008. 00:00:00,88.23
1.10.2008. 00:00:00,88.21
10.10.2008. 00:00:00,88.19
20.10.2008. 00:00:00,88.18
1.11.2008. 00:00:00,88.16
10.11.2008. 00:00:00,88.13
20.11.2008. 00:00:00,88.13
1.12.2008. 00:00:00,88.13
10.12.2008. 00:00:00,88.11
20.12.2008. 00:00:00,88.1
10.1.2009. 00:00:00,88.09
20.1.2009. 00:00:00,88.11
1.2.2009. 00:00:00,88.27
10.2.2009. 00:00:00,88.34
20.2.2009. 00:00:00,88.22
1.3.2009. 00:00:00,88.39
10.3.2009. 00:00:00,88.34
20.3.2009. 00:00:00,88.32
1.4.2009. 00:00:00,88.77
10.4.2009. 00:00:00,88.86
20.4.2009. 00:00:00,88.81
1.5.2009. 00:00:00,88.67
10.5.2009. 00:00:00,88.65
20.5.2009. 00:00:00,88.57
1.8.2009. 00:00:00,88.65
10.8.2009. 00:00:00,88.67
20.8.2009. 00:00:00,88.68
1.9.2009. 00:00:00,88.73
10.9.2009. 00:00:00,88.69
20.9.2009. 00:00:00,88.7
1.10.2009. 00:00:00,88.65
10.10.2009. 00:00:00,88.69
20.10.2009. 00:00:00,88.69
1.11.2009. 00:00:00,88.49
10.11.2009. 00:00:00,88.37
20.11.2009. 00:00:00,88.25
1.12.2009. 00:00:00,88.37
10.12.2009. 00:00:00,88.53
20.12.2009. 00:00:00,88.71
1.1.2010. 00:00:00,88.85
10.1.2010. 00:00:00,88.93
20.1.2010. 00:00:00,89.18
1.2.2010. 00:00:00,89.38
10.2.2010. 00:00:00,89.39
20.2.2010. 00:00:00,89.61
1.3.2010. 00:00:00,89.79
10.3.2010. 00:00:00,89.98
20.3.2010. 00:00:00,90.05
1.4.2010. 00:00:00,90.01
10.4.2010. 00:00:00,89.91
20.4.2010. 00:00:00,89.75
1.5.2010. 00:00:00,89.79
10.5.2010. 00:00:00,89.83
20.5.2010. 00:00:00,89.77
1.6.2010. 00:00:00,89.75
10.6.2010. 00:00:00,89.69
20.6.2010. 00:00:00,89.58
1.7.2010. 00:00:00,89.5
10.7.2010. 00:00:00,89.45
20.7.2010. 00:00:00,89.4
1.8.2010. 00:00:00,89.3
10.8.2010. 00:00:00,89.25
20.8.2010. 00:00:00,89.23
1.9.2010. 00:00:00,89.3
10.9.2010. 00:00:00,89.26
20.9.2010. 00:00:00,88.89
1.10.2010. 00:00:00,88.84
10.10.2010. 00:00:00,88.8
20.10.2010. 00:00:00,88.79
1.11.2010. 00:00:00,88.79
10.11.2010. 00:00:00,88.78
20.11.2010. 00:00:00,88.77
1.12.2010. 00:00:00,88.75
10.12.2010. 00:00:00,88.73
20.12.2010. 00:00:00,88.71
1.1.2011. 00:00:00,88.67
10.1.2011. 00:00:00,88.75
20.1.2011. 00:00:00,88.79
1.2.2011. 00:00:00,88.85
10.2.2011. 00:00:00,88.91
20.2.2011. 00:00:00,88.97
1.3.2011. 00:00:00,89.01
10.3.2011. 00:00:00,89.07
20.3.2011. 00:00:00,89.13
1.4.2011. 00:00:00,87.86
10.4.2011. 00:00:00,87.89
20.4.2011. 00:00:00,87.89
1.5.2011. 00:00:00,87.93
10.5.2011. 00:00:00,87.93
20.5.2011. 00:00:00,87.96
1.6.2011. 00:00:00,87.97
10.6.2011. 00:00:00,87.99
20.6.2011. 00:00:00,87.99
1.7.2011. 00:00:00,88.03
10.7.2011. 00:00:00,88.05
20.7.2011. 00:00:00,88.06
1.8.2011. 00:00:00,88.04
10.8.2011. 00:00:00,88.06
20.8.2011. 00:00:00,88.08
1.9.2011. 00:00:00,88.08
10.9.2011. 00:00:00,88.1
20.9.2011. 00:00:00,88.11
1.10.2011. 00:00:00,88.09
10.10.2011. 00:00:00,88.09
20.10.2011. 00:00:00,88.13
1.12.2011. 00:00:00,88.15
10.12.2011. 00:00:00,88.17
20.12.2011. 00:00:00,88.19
1.1.2012. 00:00:00,88.22
10.1.2012. 00:00:00,88.23
20.1.2012. 00:00:00,88.23
1.2.2012. 00:00:00,88.25
10.2.2012. 00:00:00,88.26
20.2.2012. 00:00:00,88.23
1.3.2012. 00:00:00,88.26
10.3.2012. 00:00:00,88.27
20.3.2012. 00:00:00,88.25
1.4.2012. 00:00:00,88.25
10.4.2012. 00:00:00,88.25
20.4.2012. 00:00:00,88.24
1.5.2012. 00:00:00,88.29
10.5.2012. 00:00:00,88.29
20.5.2012. 00:00:00,88.31
1.6.2012. 00:00:00,88.45
10.6.2012. 00:00:00,88.45
20.6.2012. 00:00:00,88.45
1.7.2012. 00:00:00,88.39
10.7.2012. 00:00:00,88.31
20.7.2012. 00:00:00,88.29
1.8.2012. 00:00:00,88.23
10.8.2012. 00:00:00,88.23
20.8.2012. 00:00:00,88.15
1.9.2012. 00:00:00,88.11
10.9.2012. 00:00:00,88.07
20.9.2012. 00:00:00,88.05
1.10.2012. 00:00:00,88.03
10.10.2012. 00:00:00,88.03
20.10.2012. 00:00:00,88.01
1.1.2013. 00:00:00,88.03
10.1.2013. 00:00:00,88.07
20.1.2013. 00:00:00,88.09
1.2.2013. 00:00:00,88.15
10.2.2013. 00:00:00,88.31
20.2.2013. 00:00:00,88.33
1.3.2013. 00:00:00,88.37
10.3.2013. 00:00:00,88.48
20.3.2013. 00:00:00,88.53
1.4.2013. 00:00:00,88.55
10.4.2013. 00:00:00,88.63
20.4.2013. 00:00:00,88.65
1.5.2013. 00:00:00,88.73
10.5.2013. 00:00:00,88.69
20.5.2013. 00:00:00,88.66
1.6.2013. 00:00:00,88.63
10.6.2013. 00:00:00,88.61
20.6.2013. 00:00:00,88.61
1.7.2013. 00:00:00,88.53
10.7.2013. 00:00:00,88.49
20.7.2013. 00:00:00,88.46
1.8.2013. 00:00:00,88.4
10.8.2013. 00:00:00,88.66
20.8.2013. 00:00:00,88.81
1.9.2013. 00:00:00,88.73
10.9.2013. 00:00:00,88.69
20.9.2013. 00:00:00,88.66
1.10.2013. 00:00:00,88.64
10.10.2013. 00:00:00,88.63
20.10.2013. 00:00:00,88.61
1.11.2013. 00:00:00,88.61
10.11.2013. 00:00:00,88.59
20.11.2013. 00:00:00,88.63
1.12.2013. 00:00:00,88.63
10.12.2013. 00:00:00,88.63
20.12.2013. 00:00:00,88.63
1.1.2014. 00:00:00,88.61
10.1.2014. 00:00:00,88.61
20.1.2014. 00:00:00,88.63
1.2.2014. 00:00:00,88.65
10.2.2014. 00:00:00,88.65
20.2.2014. 00:00:00,88.67
1.3.2014. 00:00:00,88.69
10.3.2014. 00:00:00,88.67
20.3.2014. 00:00:00,88.69
1.4.2014. 00:00:00,88.69
10.4.2014. 00:00:00,88.67
20.4.2014. 00:00:00,88.65
1.5.2014. 00:00:00,88.67
10.5.2014. 00:00:00,89.21
20.5.2014. 00:00:00,89.65
1.6.2014. 00:00:00,89.67
10.6.2014. 00:00:00,89.49
20.6.2014. 00:00:00,89.45
1.7.2014. 00:00:00,89.51
10.7.2014. 00:00:00,89.52
20.7.2014. 00:00:00,89.56
1.8.2014. 00:00:00,89.55
10.8.2014. 00:00:00,89.54
20.8.2014. 00:00:00,89.53
1.9.2014. 00:00:00,89.51
10.9.2014. 00:00:00,89.45
20.9.2014. 00:00:00,89.49
1.10.2014. 00:00:00,89.47
10.10.2014. 00:00:00,89.48
20.10.2014. 00:00:00,89.5
1.11.2014. 00:00:00,89.49
10.11.2014. 00:00:00,89.56
20.11.2014. 00:00:00,89.61
1.12.2014. 00:00:00,89.76
10.12.2014. 00:00:00,89.84
20.12.2014. 00:00:00,89.93
1.1.2015. 00:00:00,90.05
10.1.2015. 00:00:00,90.23
20.1.2015. 00:00:00,90.4
1.2.2015. 00:00:00,90.49
10.2.2015. 00:00:00,90.61
20.2.2015. 00:00:00,90.66
1.3.2015. 00:00:00,90.71
10.3.2015. 00:00:00,90.77
20.3.2015. 00:00:00,90.91
1.4.2015. 00:00:00,91.11
10.4.2015. 00:00:00,91.13
20.4.2015. 00:00:00,91.15
10.6.2015. 00:00:00,89.43
20.6.2015. 00:00:00,89.37
1.7.2015. 00:00:00,89.3
10.7.2015. 00:00:00,89.28
20.7.2015. 00:00:00,89.14
20.8.2015. 00:00:00,88.78
20.9.2015. 00:00:00,88.7
1.10.2015. 00:00:00,88.64
10.10.2015. 00:00:00,88.64
20.10.2015. 00:00:00,88.62
1.12.2015. 00:00:00,88.54
10.12.2015. 00:00:00,88.51
20.12.2015. 00:00:00,88.51
1.1.2016. 00:00:00,88.51
10.1.2016. 00:00:00,88.57
20.1.2016. 00:00:00,88.61
1.2.2016. 00:00:00,88.63
10.2.2016. 00:00:00,88.65
20.2.2016. 00:00:00,88.69
1.3.2016. 00:00:00,88.69
10.3.2016. 00:00:00,88.84
20.3.2016. 00:00:00,88.92
1.4.2016. 00:00:00,89.04
1.5.2016. 00:00:00,89.47
10.5.2016. 00:00:00,89.55
20.5.2016. 00:00:00,89.6
1.6.2016. 00:00:00,89.33
10.6.2016. 00:00:00,88.93
20.6.2016. 00:00:00,89.23
1.7.2016. 00:00:00,89.31
10.7.2016. 00:00:00,89.13
20.7.2016. 00:00:00,89.13
1.8.2016. 00:00:00,89.33
10.8.2016. 00:00:00,88.93
20.8.2016. 00:00:00,89.13
1.9.2016. 00:00:00,88.83
10.9.2016. 00:00:00,88.73
20.9.2016. 00:00:00,88.63
1.10.2016. 00:00:00,88.48
10.10.2016. 00:00:00,88.63
20.10.2016. 00:00:00,88.68
1.11.2016. 00:00:00,88.63
10.11.2016. 00:00:00,88.73
20.11.2016. 00:00:00,88.83
1.12.2016. 00:00:00,88.78
10.12.2016. 00:00:00,88.58
20.12.2016. 00:00:00,88.53
1.1.2017. 00:00:00,88.63
10.1.2017. 00:00:00,88.83
20.1.2017. 00:00:00,88.93
1.2.2017. 00:00:00,88.57
10.2.2017. 00:00:00,88.63
20.2.2017. 00:00:00,88.53
1.3.2017. 00:00:00,88.83
10.3.2017. 00:00:00,88.23
20.3.2017. 00:00:00,88.53
1.4.2017. 00:00:00,88.43
10.4.2017. 00:00:00,88.53
20.4.2017. 00:00:00,88.73
1.5.2017. 00:00:00,88.43
10.5.2017. 00:00:00,88.63
20.5.2017. 00:00:00,88.63
1.6.2017. 00:00:00,88.73
10.6.2017. 00:00:00,88.83
20.6.2017. 00:00:00,88.33
1.7.2017. 00:00:00,88.23
10.7.2017. 00:00:00,88.53
20.7.2017. 00:00:00,88.38
1.8.2017. 00:00:00,88.23
10.8.2017. 00:00:00,88.43
20.8.2017. 00:00:00,88.33
1.9.2017. 00:00:00,88.23
10.9.2017. 00:00:00,88.13
20.9.2017. 00:00:00,88.03
1.10.2017. 00:00:00,88.18
10.10.2017. 00:00:00,88.13
20.10.2017. 00:00:00,87.98
1.11.2017. 00:00:00,88.23
10.11.2017. 00:00:00,87.93
20.11.2017. 00:00:00,87.43
1.12.2017. 00:00:00,87.48
10.12.2017. 00:00:00,88.03
20.12.2017. 00:00:00,88.03
