Datum,1NPPD-143
1.4.2002. 00:00:00,88.31
5.4.2002. 00:00:00,88.31
10.4.2002. 00:00:00,88.3
15.4.2002. 00:00:00,88.3
20.4.2002. 00:00:00,88.31
25.4.2002. 00:00:00,88.31
1.5.2002. 00:00:00,88.29
5.5.2002. 00:00:00,88.28
10.5.2002. 00:00:00,88.27
15.5.2002. 00:00:00,88.25
20.5.2002. 00:00:00,88.24
25.5.2002. 00:00:00,88.23
1.6.2002. 00:00:00,88.23
5.6.2002. 00:00:00,88.21
10.6.2002. 00:00:00,88.27
15.6.2002. 00:00:00,88.31
20.6.2002. 00:00:00,88.35
25.6.2002. 00:00:00,88.34
1.7.2002. 00:00:00,88.31
5.7.2002. 00:00:00,88.33
10.7.2002. 00:00:00,88.35
15.7.2002. 00:00:00,88.29
20.7.2002. 00:00:00,88.28
25.7.2002. 00:00:00,88.27
1.8.2002. 00:00:00,88.25
5.8.2002. 00:00:00,88.23
10.8.2002. 00:00:00,88.21
15.8.2002. 00:00:00,88.21
20.8.2002. 00:00:00,88.25
25.8.2002. 00:00:00,88.25
1.9.2002. 00:00:00,88.19
5.9.2002. 00:00:00,88.14
10.9.2002. 00:00:00,88.12
15.9.2002. 00:00:00,88.11
20.9.2002. 00:00:00,88.09
25.9.2002. 00:00:00,88.08
1.11.2002. 00:00:00,88.23
20.11.2002. 00:00:00,88.23
30.11.2002. 00:00:00,88.13
1.12.2002. 00:00:00,88.18
10.12.2002. 00:00:00,88.23
20.12.2002. 00:00:00,88.18
1.1.2003. 00:00:00,88.24
10.1.2003. 00:00:00,88.29
20.1.2003. 00:00:00,88.47
1.2.2003. 00:00:00,88.61
10.2.2003. 00:00:00,88.7
20.2.2003. 00:00:00,88.74
1.3.2003. 00:00:00,88.73
10.3.2003. 00:00:00,88.71
20.3.2003. 00:00:00,88.73
1.4.2003. 00:00:00,88.71
10.4.2003. 00:00:00,88.72
20.4.2003. 00:00:00,88.74
1.5.2003. 00:00:00,88.73
10.5.2003. 00:00:00,88.71
20.5.2003. 00:00:00,88.69
1.6.2003. 00:00:00,88.64
10.6.2003. 00:00:00,88.58
20.6.2003. 00:00:00,88.55
1.7.2003. 00:00:00,88.5
10.7.2003. 00:00:00,88.48
20.7.2003. 00:00:00,88.43
1.8.2003. 00:00:00,88.4
10.8.2003. 00:00:00,88.36
20.8.2003. 00:00:00,88.3
1.9.2003. 00:00:00,88.22
10.9.2003. 00:00:00,88.19
20.9.2003. 00:00:00,88.16
1.10.2003. 00:00:00,88.13
10.10.2003. 00:00:00,88.1
20.10.2003. 00:00:00,88.09
1.11.2003. 00:00:00,88.11
10.11.2003. 00:00:00,88.13
20.11.2003. 00:00:00,88.13
1.12.2003. 00:00:00,88.1
10.12.2003. 00:00:00,88.1
20.12.2003. 00:00:00,88.09
1.1.2004. 00:00:00,88.11
10.1.2004. 00:00:00,88.11
20.1.2004. 00:00:00,88.16
1.2.2004. 00:00:00,88.23
10.2.2004. 00:00:00,88.38
20.2.2004. 00:00:00,88.48
1.3.2004. 00:00:00,88.64
10.3.2004. 00:00:00,88.66
20.3.2004. 00:00:00,88.68
1.4.2004. 00:00:00,88.67
10.4.2004. 00:00:00,88.7
20.4.2004. 00:00:00,88.71
1.5.2004. 00:00:00,88.67
10.5.2004. 00:00:00,88.67
20.5.2004. 00:00:00,88.66
1.6.2004. 00:00:00,88.65
10.6.2004. 00:00:00,88.71
20.6.2004. 00:00:00,88.69
1.7.2004. 00:00:00,88.63
10.7.2004. 00:00:00,88.59
20.7.2004. 00:00:00,88.53
1.8.2004. 00:00:00,88.48
10.8.2004. 00:00:00,88.43
20.8.2004. 00:00:00,88.42
1.9.2004. 00:00:00,88.39
10.9.2004. 00:00:00,88.35
20.9.2004. 00:00:00,88.29
1.10.2004. 00:00:00,88.28
10.10.2004. 00:00:00,88.28
20.10.2004. 00:00:00,88.27
1.11.2004. 00:00:00,88.27
10.11.2004. 00:00:00,88.3
20.11.2004. 00:00:00,88.38
1.12.2004. 00:00:00,88.38
10.12.2004. 00:00:00,88.38
20.12.2004. 00:00:00,88.4
1.1.2005. 00:00:00,88.4
10.1.2005. 00:00:00,88.41
20.1.2005. 00:00:00,88.4
1.2.2005. 00:00:00,88.39
10.2.2005. 00:00:00,88.39
20.2.2005. 00:00:00,88.57
1.3.2005. 00:00:00,88.88
10.3.2005. 00:00:00,89.0
20.3.2005. 00:00:00,89.75
1.4.2005. 00:00:00,89.48
10.4.2005. 00:00:00,90.11
20.4.2005. 00:00:00,90.55
1.5.2005. 00:00:00,90.06
10.5.2005. 00:00:00,89.87
20.5.2005. 00:00:00,89.76
1.6.2005. 00:00:00,89.67
10.6.2005. 00:00:00,89.58
20.6.2005. 00:00:00,89.48
1.7.2005. 00:00:00,89.33
10.7.2005. 00:00:00,89.4
20.7.2005. 00:00:00,89.48
1.8.2005. 00:00:00,88.83
10.8.2005. 00:00:00,89.23
20.8.2005. 00:00:00,89.24
1.9.2005. 00:00:00,89.16
10.9.2005. 00:00:00,89.09
20.9.2005. 00:00:00,89.05
1.10.2005. 00:00:00,89.05
10.10.2005. 00:00:00,89.07
20.10.2005. 00:00:00,89.09
1.11.2005. 00:00:00,88.99
10.11.2005. 00:00:00,88.93
20.11.2005. 00:00:00,89.03
1.12.2005. 00:00:00,89.05
10.12.2005. 00:00:00,89.05
20.12.2005. 00:00:00,89.07
1.1.2006. 00:00:00,88.96
10.1.2006. 00:00:00,89.0
20.1.2006. 00:00:00,89.05
1.2.2006. 00:00:00,89.09
10.2.2006. 00:00:00,89.15
20.2.2006. 00:00:00,89.65
1.3.2006. 00:00:00,89.73
10.3.2006. 00:00:00,89.95
20.3.2006. 00:00:00,90.45
1.4.2006. 00:00:00,90.51
10.4.2006. 00:00:00,90.55
20.4.2006. 00:00:00,90.63
1.5.2006. 00:00:00,90.03
10.5.2006. 00:00:00,89.95
20.5.2006. 00:00:00,89.71
1.6.2006. 00:00:00,89.55
10.6.2006. 00:00:00,89.46
20.6.2006. 00:00:00,89.39
1.7.2006. 00:00:00,89.27
10.7.2006. 00:00:00,89.23
20.7.2006. 00:00:00,89.18
1.8.2006. 00:00:00,89.13
10.8.2006. 00:00:00,89.03
20.8.2006. 00:00:00,88.97
1.9.2006. 00:00:00,88.9
10.9.2006. 00:00:00,88.85
20.9.2006. 00:00:00,88.78
1.10.2006. 00:00:00,88.77
10.10.2006. 00:00:00,88.73
20.10.2006. 00:00:00,88.64
1.11.2006. 00:00:00,88.61
10.11.2006. 00:00:00,88.65
20.11.2006. 00:00:00,88.63
1.12.2006. 00:00:00,88.61
10.12.2006. 00:00:00,88.59
20.12.2006. 00:00:00,88.61
1.1.2007. 00:00:00,88.65
10.1.2007. 00:00:00,88.71
20.1.2007. 00:00:00,88.73
1.2.2007. 00:00:00,88.69
10.2.2007. 00:00:00,88.73
20.2.2007. 00:00:00,88.79
1.3.2007. 00:00:00,88.77
10.3.2007. 00:00:00,88.86
20.3.2007. 00:00:00,88.91
1.4.2007. 00:00:00,88.91
10.4.2007. 00:00:00,88.91
20.4.2007. 00:00:00,88.87
1.5.2007. 00:00:00,88.81
10.5.2007. 00:00:00,88.74
20.5.2007. 00:00:00,88.81
1.6.2007. 00:00:00,88.97
10.6.2007. 00:00:00,88.94
20.6.2007. 00:00:00,88.81
1.7.2007. 00:00:00,88.75
10.7.2007. 00:00:00,88.7
20.7.2007. 00:00:00,88.59
1.8.2007. 00:00:00,88.55
10.8.2007. 00:00:00,88.47
20.8.2007. 00:00:00,88.44
1.9.2007. 00:00:00,88.39
10.9.2007. 00:00:00,88.36
20.9.2007. 00:00:00,88.33
1.10.2007. 00:00:00,88.3
10.10.2007. 00:00:00,88.28
20.10.2007. 00:00:00,88.25
1.11.2007. 00:00:00,88.23
10.11.2007. 00:00:00,88.27
20.11.2007. 00:00:00,88.33
1.12.2007. 00:00:00,88.36
10.12.2007. 00:00:00,88.39
20.12.2007. 00:00:00,88.33
1.1.2008. 00:00:00,88.35
10.1.2008. 00:00:00,88.43
20.1.2008. 00:00:00,88.5
1.2.2008. 00:00:00,88.56
10.2.2008. 00:00:00,88.61
20.2.2008. 00:00:00,88.61
1.3.2008. 00:00:00,88.63
10.3.2008. 00:00:00,88.68
20.3.2008. 00:00:00,88.75
1.4.2008. 00:00:00,88.81
