Datum,1NP907
20/07/1960 00:00:00,75.65
30/07/1960 00:00:00,75.86
10/08/1960 00:00:00,75.53
20/08/1960 00:00:00,75.48
30/08/1960 00:00:00,75.2
10/09/1960 00:00:00,75.13
20/09/1960 00:00:00,75.12
30/09/1960 00:00:00,75.23
10/10/1960 00:00:00,75.14
20/10/1960 00:00:00,75.27
30/10/1960 00:00:00,75.3
10/11/1960 00:00:00,75.47
20/11/1960 00:00:00,75.56
30/11/1960 00:00:00,75.62
10/12/1960 00:00:00,75.41
20/12/1960 00:00:00,75.87
30/12/1960 00:00:00,75.91
10/01/1961 00:00:00,75.88
20/01/1961 00:00:00,75.68
30/01/1961 00:00:00,75.63
10/02/1961 00:00:00,75.64
20/02/1961 00:00:00,75.81
28/02/1961 00:00:00,75.93
10/03/1961 00:00:00,75.75
20/03/1961 00:00:00,76.02
30/03/1961 00:00:00,76.26
10/04/1961 00:00:00,76.07
20/04/1961 00:00:00,75.75
30/04/1961 00:00:00,76.31
10/05/1961 00:00:00,76.59
20/05/1961 00:00:00,78.35
30/05/1961 00:00:00,
10/06/1961 00:00:00,77.01
20/06/1961 00:00:00,76.48
30/06/1961 00:00:00,76.08
10/07/1961 00:00:00,75.81
20/07/1961 00:00:00,75.58
30/07/1961 00:00:00,75.32
10/08/1961 00:00:00,75.27
20/08/1961 00:00:00,75.16
30/08/1961 00:00:00,75.12
10/09/1961 00:00:00,75.03
20/09/1961 00:00:00,75.03
30/09/1961 00:00:00,74.98
10/10/1961 00:00:00,74.96
20/10/1961 00:00:00,75.0
30/10/1961 00:00:00,75.01
10/11/1961 00:00:00,75.19
20/11/1961 00:00:00,75.32
30/11/1961 00:00:00,75.2
10/12/1961 00:00:00,75.18
20/12/1961 00:00:00,75.25
30/12/1961 00:00:00,75.59
10/01/1962 00:00:00,75.64
20/01/1962 00:00:00,75.61
30/01/1962 00:00:00,75.06
10/02/1962 00:00:00,75.55
20/02/1962 00:00:00,76.82
28/02/1962 00:00:00,76.36
10/03/1962 00:00:00,77.46
20/03/1962 00:00:00,78.73
30/03/1962 00:00:00,
10/04/1962 00:00:00,
20/04/1962 00:00:00,
30/04/1962 00:00:00,76.98
10/05/1962 00:00:00,77.44
20/05/1962 00:00:00,76.76
30/05/1962 00:00:00,76.17
10/06/1962 00:00:00,75.93
20/06/1962 00:00:00,75.86
