Datum,1NPPD-133
10.10.2011. 00:00:00,535
20.10.2011. 00:00:00,540
1.11.2011. 00:00:00,543
10.11.2011. 00:00:00,546
20.11.2011. 00:00:00,548
1.12.2011. 00:00:00,550
10.12.2011. 00:00:00,552
20.12.2011. 00:00:00,556
1.1.2012. 00:00:00,558
10.1.2012. 00:00:00,560
20.1.2012. 00:00:00,565
1.2.2012. 00:00:00,565
10.2.2012. 00:00:00,566
20.2.2012. 00:00:00,568
1.3.2012. 00:00:00,574
10.3.2012. 00:00:00,566
20.3.2012. 00:00:00,564
1.4.2012. 00:00:00,562
10.4.2012. 00:00:00,560
20.4.2012. 00:00:00,557
1.5.2012. 00:00:00,554
10.5.2012. 00:00:00,552
20.5.2012. 00:00:00,550
1.6.2012. 00:00:00,547
10.6.2012. 00:00:00,542
20.6.2012. 00:00:00,540
1.7.2012. 00:00:00,540
10.7.2012. 00:00:00,543
20.7.2012. 00:00:00,545
1.8.2012. 00:00:00,547
10.8.2012. 00:00:00,551
20.8.2012. 00:00:00,556
1.9.2012. 00:00:00,569
10.9.2012. 00:00:00,562
20.9.2012. 00:00:00,563
1.10.2012. 00:00:00,564
10.10.2012. 00:00:00,566
20.10.2012. 00:00:00,568
1.11.2012. 00:00:00,572
10.11.2012. 00:00:00,576
20.11.2012. 00:00:00,579
1.12.2012. 00:00:00,582
10.12.2012. 00:00:00,585
20.12.2012. 00:00:00,587
1.1.2013. 00:00:00,588
10.1.2013. 00:00:00,589
20.1.2013. 00:00:00,590
1.2.2013. 00:00:00,590
10.2.2013. 00:00:00,588
20.2.2013. 00:00:00,588
1.3.2013. 00:00:00,587
10.3.2013. 00:00:00,585
20.3.2013. 00:00:00,583
1.4.2013. 00:00:00,572
10.4.2013. 00:00:00,564
20.4.2013. 00:00:00,557
1.5.2013. 00:00:00,550
10.5.2013. 00:00:00,548
20.5.2013. 00:00:00,545
1.6.2013. 00:00:00,545
10.6.2013. 00:00:00,546
20.6.2013. 00:00:00,548
1.7.2013. 00:00:00,548
10.7.2013. 00:00:00,549
20.7.2013. 00:00:00,550
1.8.2013. 00:00:00,552
10.8.2013. 00:00:00,556
20.8.2013. 00:00:00,560
1.9.2013. 00:00:00,562
10.9.2013. 00:00:00,565
20.9.2013. 00:00:00,568
1.10.2013. 00:00:00,573
10.10.2013. 00:00:00,577
20.10.2013. 00:00:00,580
1.11.2013. 00:00:00,581
10.11.2013. 00:00:00,582
20.11.2013. 00:00:00,584
1.12.2013. 00:00:00,586
10.12.2013. 00:00:00,590
20.12.2013. 00:00:00,595
1.1.2014. 00:00:00,594
10.1.2014. 00:00:00,596
20.1.2014. 00:00:00,600
1.2.2014. 00:00:00,602
10.2.2014. 00:00:00,603
20.2.2014. 00:00:00,603
1.3.2014. 00:00:00,602
10.3.2014. 00:00:00,603
20.3.2014. 00:00:00,605
1.4.2014. 00:00:00,606
10.4.2014. 00:00:00,606
20.4.2014. 00:00:00,606
1.5.2014. 00:00:00,606
10.5.2014. 00:00:00,595
20.5.2014. 00:00:00,582
1.6.2014. 00:00:00,560
10.6.2014. 00:00:00,560
20.6.2014. 00:00:00,545
1.7.2014. 00:00:00,543
10.7.2014. 00:00:00,539
20.7.2014. 00:00:00,542
1.8.2014. 00:00:00,540
10.8.2014. 00:00:00,536
20.8.2014. 00:00:00,530
1.9.2014. 00:00:00,540
10.9.2014. 00:00:00,536
20.9.2014. 00:00:00,530
1.10.2014. 00:00:00,522
10.10.2014. 00:00:00,520
20.10.2014. 00:00:00,524
1.11.2014. 00:00:00,520
10.11.2014. 00:00:00,516
20.11.2014. 00:00:00,518
1.12.2014. 00:00:00,522
10.12.2014. 00:00:00,515
20.12.2014. 00:00:00,509
1.1.2016. 00:00:00,516
10.1.2016. 00:00:00,520
20.1.2016. 00:00:00,515
1.2.2016. 00:00:00,524
10.2.2016. 00:00:00,521
20.2.2016. 00:00:00,520
1.3.2016. 00:00:00,521
10.3.2016. 00:00:00,516
20.3.2016. 00:00:00,509
1.4.2016. 00:00:00,501
1.5.2016. 00:00:00,493
10.5.2016. 00:00:00,487
20.5.2016. 00:00:00,480
1.6.2016. 00:00:00,479
10.6.2016. 00:00:00,480
20.6.2016. 00:00:00,484
1.7.2016. 00:00:00,486
10.7.2016. 00:00:00,490
20.7.2016. 00:00:00,491
1.8.2016. 00:00:00,498
10.8.2016. 00:00:00,502
20.8.2016. 00:00:00,505
1.9.2016. 00:00:00,508
10.9.2016. 00:00:00,515
20.9.2016. 00:00:00,513
1.10.2016. 00:00:00,520
10.10.2016. 00:00:00,523
20.10.2016. 00:00:00,525
1.11.2016. 00:00:00,528
10.11.2016. 00:00:00,531
20.11.2016. 00:00:00,530
1.12.2016. 00:00:00,531
10.12.2016. 00:00:00,533
20.12.2016. 00:00:00,537
1.1.2017. 00:00:00,540
10.1.2017. 00:00:00,540
20.1.2017. 00:00:00,545
1.2.2017. 00:00:00,538
10.2.2017. 00:00:00,545
20.2.2017. 00:00:00,548
1.3.2017. 00:00:00,546
10.3.2017. 00:00:00,541
20.3.2017. 00:00:00,550
1.4.2017. 00:00:00,550
10.4.2017. 00:00:00,550
20.4.2017. 00:00:00,545
1.5.2017. 00:00:00,553
10.5.2017. 00:00:00,555
20.5.2017. 00:00:00,558
1.6.2017. 00:00:00,555
10.6.2017. 00:00:00,559
20.6.2017. 00:00:00,556
1.8.2017. 00:00:00,564
10.8.2017. 00:00:00,568
20.8.2017. 00:00:00,572
1.9.2017. 00:00:00,570
10.9.2017. 00:00:00,571
20.9.2017. 00:00:00,580
1.10.2017. 00:00:00,582
10.10.2017. 00:00:00,585
20.10.2017. 00:00:00,585
20.11.2017. 00:00:00,592
1.12.2017. 00:00:00,594
10.12.2017. 00:00:00,596
20.12.2017. 00:00:00,593
