Datum,1NPPD-133
5.5.2002. 00:00:00,550
15.5.2002. 00:00:00,500
25.5.2002. 00:00:00,548
1.7.2002. 00:00:00,543
5.7.2002. 00:00:00,544
10.7.2002. 00:00:00,544
15.7.2002. 00:00:00,555
25.7.2002. 00:00:00,546
5.8.2002. 00:00:00,550
10.8.2002. 00:00:00,554
15.8.2002. 00:00:00,554
25.8.2002. 00:00:00,558
5.9.2002. 00:00:00,558
10.9.2002. 00:00:00,559
15.9.2002. 00:00:00,560
25.9.2002. 00:00:00,561
5.10.2002. 00:00:00,561
10.10.2002. 00:00:00,561
15.10.2002. 00:00:00,563
25.10.2002. 00:00:00,567
5.11.2002. 00:00:00,567
10.11.2002. 00:00:00,568
15.11.2002. 00:00:00,568
20.11.2002. 00:00:00,570
25.11.2002. 00:00:00,570
5.12.2002. 00:00:00,570
10.12.2002. 00:00:00,570
15.12.2002. 00:00:00,572
25.12.2002. 00:00:00,575
5.1.2003. 00:00:00,555
10.1.2003. 00:00:00,558
15.1.2003. 00:00:00,559
20.1.2003. 00:00:00,560
25.1.2003. 00:00:00,559
30.1.2003. 00:00:00,560
5.2.2003. 00:00:00,559
10.2.2003. 00:00:00,558
15.2.2003. 00:00:00,560
20.2.2003. 00:00:00,563
25.2.2003. 00:00:00,561
28.2.2003. 00:00:00,565
5.3.2003. 00:00:00,559
10.3.2003. 00:00:00,560
15.3.2003. 00:00:00,561
20.3.2003. 00:00:00,564
25.3.2003. 00:00:00,562
30.3.2003. 00:00:00,560
5.4.2003. 00:00:00,559
10.4.2003. 00:00:00,550
15.4.2003. 00:00:00,549
20.4.2003. 00:00:00,545
25.4.2003. 00:00:00,542
30.4.2003. 00:00:00,539
5.5.2003. 00:00:00,536
10.5.2003. 00:00:00,530
15.5.2003. 00:00:00,528
20.5.2003. 00:00:00,525
25.5.2003. 00:00:00,520
30.5.2003. 00:00:00,530
10.6.2003. 00:00:00,646
20.6.2003. 00:00:00,648
30.6.2003. 00:00:00,649
10.7.2003. 00:00:00,525
20.7.2003. 00:00:00,528
30.7.2003. 00:00:00,528
10.8.2003. 00:00:00,526
20.8.2003. 00:00:00,526
30.8.2003. 00:00:00,523
10.9.2003. 00:00:00,523
20.9.2003. 00:00:00,526
30.9.2003. 00:00:00,530
10.10.2003. 00:00:00,530
20.10.2003. 00:00:00,535
30.10.2003. 00:00:00,538
10.11.2003. 00:00:00,538
20.11.2003. 00:00:00,540
30.11.2003. 00:00:00,545
10.12.2003. 00:00:00,550
20.12.2003. 00:00:00,558
30.12.2003. 00:00:00,561
1.1.2004. 00:00:00,561
10.1.2004. 00:00:00,560
20.1.2004. 00:00:00,563
1.2.2004. 00:00:00,563
10.2.2004. 00:00:00,560
20.2.2004. 00:00:00,562
1.3.2004. 00:00:00,562
10.3.2004. 00:00:00,560
20.3.2004. 00:00:00,559
1.4.2004. 00:00:00,550
10.4.2004. 00:00:00,545
20.4.2004. 00:00:00,540
1.5.2004. 00:00:00,540
10.5.2004. 00:00:00,538
20.5.2004. 00:00:00,537
1.6.2004. 00:00:00,537
10.6.2004. 00:00:00,538
20.6.2004. 00:00:00,537
1.7.2004. 00:00:00,537
10.7.2004. 00:00:00,539
20.7.2004. 00:00:00,538
1.8.2004. 00:00:00,538
10.8.2004. 00:00:00,537
20.8.2004. 00:00:00,538
1.9.2004. 00:00:00,538
10.9.2004. 00:00:00,539
20.9.2004. 00:00:00,540
1.10.2004. 00:00:00,540
10.10.2004. 00:00:00,542
20.10.2004. 00:00:00,541
1.11.2004. 00:00:00,541
10.11.2004. 00:00:00,543
20.11.2004. 00:00:00,545
1.12.2004. 00:00:00,540
10.12.2004. 00:00:00,542
20.12.2004. 00:00:00,546
1.1.2005. 00:00:00,545
10.1.2005. 00:00:00,550
20.1.2005. 00:00:00,552
1.2.2005. 00:00:00,552
10.2.2005. 00:00:00,554
20.2.2005. 00:00:00,556
1.3.2005. 00:00:00,555
10.3.2005. 00:00:00,550
20.3.2005. 00:00:00,546
1.4.2005. 00:00:00,548
10.4.2005. 00:00:00,540
20.4.2005. 00:00:00,539
1.5.2005. 00:00:00,539
10.5.2005. 00:00:00,538
20.5.2005. 00:00:00,536
1.6.2005. 00:00:00,536
10.6.2005. 00:00:00,520
20.6.2005. 00:00:00,500
1.7.2005. 00:00:00,499
10.7.2005. 00:00:00,485
20.7.2005. 00:00:00,482
1.8.2005. 00:00:00,480
10.8.2005. 00:00:00,482
20.8.2005. 00:00:00,484
1.9.2005. 00:00:00,489
10.9.2005. 00:00:00,486
20.9.2005. 00:00:00,489
1.10.2005. 00:00:00,489
10.10.2005. 00:00:00,486
20.10.2005. 00:00:00,486
1.11.2005. 00:00:00,486
10.11.2005. 00:00:00,488
20.11.2005. 00:00:00,490
1.12.2005. 00:00:00,490
10.12.2005. 00:00:00,491
20.12.2005. 00:00:00,492
1.1.2006. 00:00:00,492
10.1.2006. 00:00:00,494
20.1.2006. 00:00:00,495
1.2.2006. 00:00:00,495
10.2.2006. 00:00:00,493
20.2.2006. 00:00:00,496
1.3.2006. 00:00:00,496
10.3.2006. 00:00:00,450
20.3.2006. 00:00:00,439
1.4.2006. 00:00:00,435
10.4.2006. 00:00:00,410
20.4.2006. 00:00:00,371
1.5.2006. 00:00:00,371
10.5.2006. 00:00:00,374
20.5.2006. 00:00:00,376
1.6.2006. 00:00:00,373
10.6.2006. 00:00:00,381
20.6.2006. 00:00:00,395
1.7.2006. 00:00:00,395
10.7.2006. 00:00:00,398
20.7.2006. 00:00:00,410
1.8.2006. 00:00:00,412
10.8.2006. 00:00:00,412
20.8.2006. 00:00:00,426
1.9.2006. 00:00:00,430
10.9.2006. 00:00:00,432
20.9.2006. 00:00:00,444
1.10.2006. 00:00:00,450
10.10.2006. 00:00:00,457
20.10.2006. 00:00:00,460
1.11.2006. 00:00:00,461
10.11.2006. 00:00:00,462
20.11.2006. 00:00:00,463
1.12.2006. 00:00:00,463
10.12.2006. 00:00:00,464
20.12.2006. 00:00:00,467
1.1.2007. 00:00:00,479
10.1.2007. 00:00:00,482
20.1.2007. 00:00:00,482
1.2.2007. 00:00:00,482
10.2.2007. 00:00:00,482
20.2.2007. 00:00:00,478
1.3.2007. 00:00:00,474
10.3.2007. 00:00:00,474
20.3.2007. 00:00:00,472
1.4.2007. 00:00:00,470
10.4.2007. 00:00:00,470
20.4.2007. 00:00:00,471
1.5.2007. 00:00:00,473
10.5.2007. 00:00:00,478
20.5.2007. 00:00:00,470
1.6.2007. 00:00:00,467
10.6.2007. 00:00:00,467
20.6.2007. 00:00:00,470
1.7.2007. 00:00:00,472
10.7.2007. 00:00:00,477
20.7.2007. 00:00:00,483
1.8.2007. 00:00:00,486
10.8.2007. 00:00:00,488
20.8.2007. 00:00:00,490
1.9.2007. 00:00:00,496
10.9.2007. 00:00:00,498
20.9.2007. 00:00:00,504
1.10.2007. 00:00:00,505
10.10.2007. 00:00:00,507
20.10.2007. 00:00:00,514
1.11.2007. 00:00:00,515
10.11.2007. 00:00:00,515
20.11.2007. 00:00:00,512
1.12.2007. 00:00:00,512
10.12.2007. 00:00:00,508
20.12.2007. 00:00:00,506
1.1.2008. 00:00:00,506
10.1.2008. 00:00:00,506
20.1.2008. 00:00:00,505
1.2.2008. 00:00:00,505
10.2.2008. 00:00:00,505
20.2.2008. 00:00:00,504
1.3.2008. 00:00:00,505
10.3.2008. 00:00:00,506
20.3.2008. 00:00:00,504
1.4.2008. 00:00:00,504
10.4.2008. 00:00:00,503
20.4.2008. 00:00:00,502
1.5.2008. 00:00:00,500
10.5.2008. 00:00:00,500
20.5.2008. 00:00:00,500
1.6.2008. 00:00:00,506
10.6.2008. 00:00:00,507
20.6.2008. 00:00:00,508
1.7.2008. 00:00:00,512
10.7.2008. 00:00:00,516
20.7.2008. 00:00:00,520
1.8.2008. 00:00:00,521
10.8.2008. 00:00:00,522
20.8.2008. 00:00:00,524
1.9.2008. 00:00:00,528
10.9.2008. 00:00:00,532
20.9.2008. 00:00:00,534
1.10.2008. 00:00:00,536
10.10.2008. 00:00:00,539
20.10.2008. 00:00:00,542
1.11.2008. 00:00:00,543
10.11.2008. 00:00:00,544
20.11.2008. 00:00:00,546
1.12.2008. 00:00:00,548
10.12.2008. 00:00:00,550
20.12.2008. 00:00:00,552
1.1.2009. 00:00:00,552
10.1.2009. 00:00:00,552
20.1.2009. 00:00:00,554
1.2.2009. 00:00:00,552
10.2.2009. 00:00:00,549
20.2.2009. 00:00:00,546
1.3.2009. 00:00:00,544
10.3.2009. 00:00:00,530
20.3.2009. 00:00:00,516
1.4.2009. 00:00:00,509
10.4.2009. 00:00:00,498
20.4.2009. 00:00:00,494
1.5.2009. 00:00:00,493
10.5.2009. 00:00:00,492
20.5.2009. 00:00:00,494
1.6.2009. 00:00:00,496
10.6.2009. 00:00:00,499
20.6.2009. 00:00:00,502
1.7.2009. 00:00:00,504
10.7.2009. 00:00:00,505
20.7.2009. 00:00:00,507
1.8.2009. 00:00:00,509
10.8.2009. 00:00:00,515
20.8.2009. 00:00:00,516
1.9.2009. 00:00:00,519
10.9.2009. 00:00:00,523
20.9.2009. 00:00:00,526
1.10.2009. 00:00:00,529
10.10.2009. 00:00:00,532
20.10.2009. 00:00:00,538
1.11.2009. 00:00:00,540
10.11.2009. 00:00:00,542
20.11.2009. 00:00:00,547
1.12.2009. 00:00:00,546
10.12.2009. 00:00:00,545
20.12.2009. 00:00:00,543
1.1.2010. 00:00:00,537
10.1.2010. 00:00:00,524
20.1.2010. 00:00:00,518
1.2.2010. 00:00:00,514
10.2.2010. 00:00:00,511
20.2.2010. 00:00:00,508
1.3.2010. 00:00:00,476
10.3.2010. 00:00:00,455
20.3.2010. 00:00:00,445
1.4.2010. 00:00:00,428
10.4.2010. 00:00:00,428
20.4.2010. 00:00:00,425
1.5.2010. 00:00:00,422
10.5.2010. 00:00:00,420
20.5.2010. 00:00:00,417
1.6.2010. 00:00:00,414
10.6.2010. 00:00:00,417
20.6.2010. 00:00:00,422
1.7.2010. 00:00:00,422
10.7.2010. 00:00:00,423
20.7.2010. 00:00:00,423
1.8.2010. 00:00:00,426
10.8.2010. 00:00:00,432
20.8.2010. 00:00:00,439
1.9.2010. 00:00:00,445
10.9.2010. 00:00:00,451
20.9.2010. 00:00:00,456
1.10.2010. 00:00:00,462
10.10.2010. 00:00:00,469
20.10.2010. 00:00:00,472
1.11.2010. 00:00:00,476
10.11.2010. 00:00:00,483
20.11.2010. 00:00:00,485
1.12.2010. 00:00:00,488
10.12.2010. 00:00:00,490
20.12.2010. 00:00:00,492
1.1.2011. 00:00:00,492
10.1.2011. 00:00:00,492
20.1.2011. 00:00:00,494
1.2.2011. 00:00:00,500
10.2.2011. 00:00:00,501
20.2.2011. 00:00:00,502
1.3.2011. 00:00:00,500
10.3.2011. 00:00:00,494
20.3.2011. 00:00:00,496
1.4.2011. 00:00:00,493
10.4.2011. 00:00:00,493
20.4.2011. 00:00:00,493
1.5.2011. 00:00:00,493
10.5.2011. 00:00:00,500
20.5.2011. 00:00:00,498
1.6.2011. 00:00:00,499
10.6.2011. 00:00:00,500
20.6.2011. 00:00:00,502
1.8.2011. 00:00:00,512
10.8.2011. 00:00:00,516
20.8.2011. 00:00:00,520
1.9.2011. 00:00:00,523
10.9.2011. 00:00:00,527
20.9.2011. 00:00:00,531
1.10.2011. 00:00:00,532
