Datum,1NP933A
10/07/1987 00:00:00,94.86
15/07/1987 00:00:00,94.63
20/07/1987 00:00:00,94.25
25/07/1987 00:00:00,94.6
01/08/1987 00:00:00,94.39
05/08/1987 00:00:00,94.38
10/08/1987 00:00:00,94.39
15/08/1987 00:00:00,94.21
20/08/1987 00:00:00,94.17
25/08/1987 00:00:00,94.25
01/09/1987 00:00:00,94.2
05/09/1987 00:00:00,94.15
10/09/1987 00:00:00,94.15
15/09/1987 00:00:00,94.28
20/09/1987 00:00:00,94.21
25/09/1987 00:00:00,94.01
01/10/1987 00:00:00,93.88
05/10/1987 00:00:00,93.93
10/10/1987 00:00:00,93.89
15/10/1987 00:00:00,93.89
20/10/1987 00:00:00,93.84
25/10/1987 00:00:00,93.89
01/11/1987 00:00:00,93.88
05/11/1987 00:00:00,93.84
10/11/1987 00:00:00,93.92
15/11/1987 00:00:00,93.88
20/11/1987 00:00:00,93.91
25/11/1987 00:00:00,93.87
01/12/1987 00:00:00,93.96
05/12/1987 00:00:00,93.91
10/12/1987 00:00:00,94.07
15/12/1987 00:00:00,94.33
20/12/1987 00:00:00,94.24
25/12/1987 00:00:00,94.36
01/01/1988 00:00:00,94.4
05/01/1988 00:00:00,94.04
10/01/1988 00:00:00,94.23
15/01/1988 00:00:00,94.11
20/01/1988 00:00:00,94.26
25/01/1988 00:00:00,94.41
01/02/1988 00:00:00,94.41
05/02/1988 00:00:00,94.41
10/02/1988 00:00:00,94.39
15/02/1988 00:00:00,94.23
20/02/1988 00:00:00,94.32
25/02/1988 00:00:00,94.25
01/03/1988 00:00:00,94.23
05/03/1988 00:00:00,94.43
10/03/1988 00:00:00,94.59
15/03/1988 00:00:00,94.54
20/03/1988 00:00:00,94.57
25/03/1988 00:00:00,94.54
01/04/1988 00:00:00,94.55
05/04/1988 00:00:00,94.56
10/04/1988 00:00:00,94.59
15/04/1988 00:00:00,94.62
20/04/1988 00:00:00,94.29
25/04/1988 00:00:00,93.8
01/05/1988 00:00:00,94.53
05/05/1988 00:00:00,94.61
10/05/1988 00:00:00,94.65
15/05/1988 00:00:00,94.67
20/05/1988 00:00:00,94.64
25/05/1988 00:00:00,94.74
01/06/1988 00:00:00,94.73
05/06/1988 00:00:00,94.61
10/06/1988 00:00:00,94.55
15/06/1988 00:00:00,94.5
20/06/1988 00:00:00,94.49
25/06/1988 00:00:00,94.42
01/07/1988 00:00:00,94.39
05/07/1988 00:00:00,94.37
10/07/1988 00:00:00,94.39
15/07/1988 00:00:00,94.68
20/07/1988 00:00:00,94.4
25/07/1988 00:00:00,94.05
01/08/1988 00:00:00,94.47
05/08/1988 00:00:00,94.46
10/08/1988 00:00:00,94.29
15/08/1988 00:00:00,94.11
20/08/1988 00:00:00,94.05
25/08/1988 00:00:00,94.04
01/09/1988 00:00:00,94.18
05/09/1988 00:00:00,94.24
10/09/1988 00:00:00,94.21
15/09/1988 00:00:00,94.24
20/09/1988 00:00:00,94.22
25/09/1988 00:00:00,94.19
01/10/1988 00:00:00,94.23
05/10/1988 00:00:00,94.22
10/10/1988 00:00:00,94.29
15/10/1988 00:00:00,94.14
20/10/1988 00:00:00,94.29
25/10/1988 00:00:00,94.26
01/11/1988 00:00:00,94.26
05/11/1988 00:00:00,93.84
10/11/1988 00:00:00,94.06
15/11/1988 00:00:00,93.83
20/11/1988 00:00:00,93.97
25/11/1988 00:00:00,94.06
01/12/1988 00:00:00,93.89
05/12/1988 00:00:00,94.07
10/12/1988 00:00:00,94.02
15/12/1988 00:00:00,94.08
