Datum,1NP901A
15.12.1989. 00:00:00,74.69
20.12.1989. 00:00:00,74.72
25.12.1989. 00:00:00,74.72
1.1.1991. 00:00:00,74.46
5.1.1991. 00:00:00,74.43
10.1.1991. 00:00:00,74.41
15.1.1991. 00:00:00,74.43
20.1.1991. 00:00:00,74.45
25.1.1991. 00:00:00,74.47
1.2.1991. 00:00:00,74.45
5.2.1991. 00:00:00,74.45
10.2.1991. 00:00:00,74.44
15.2.1991. 00:00:00,74.44
20.2.1991. 00:00:00,74.45
25.2.1991. 00:00:00,74.45
1.3.1991. 00:00:00,74.44
5.3.1991. 00:00:00,74.45
10.3.1991. 00:00:00,74.45
15.3.1991. 00:00:00,74.44
20.3.1991. 00:00:00,74.44
25.3.1991. 00:00:00,74.44
1.4.1991. 00:00:00,74.46
5.4.1991. 00:00:00,74.47
10.4.1991. 00:00:00,74.49
15.4.1991. 00:00:00,74.5
20.4.1991. 00:00:00,74.52
25.4.1991. 00:00:00,74.54
1.5.1991. 00:00:00,74.47
5.5.1991. 00:00:00,74.44
10.5.1991. 00:00:00,74.5
15.5.1991. 00:00:00,74.51
20.5.1991. 00:00:00,74.5
25.5.1991. 00:00:00,74.5
1.6.1991. 00:00:00,74.5
5.6.1991. 00:00:00,74.52
10.6.1991. 00:00:00,74.52
15.6.1991. 00:00:00,74.51
20.6.1991. 00:00:00,74.5
25.6.1991. 00:00:00,74.52
1.7.1991. 00:00:00,74.47
5.7.1991. 00:00:00,74.47
10.7.1991. 00:00:00,74.43
15.7.1991. 00:00:00,74.43
20.7.1991. 00:00:00,74.39
25.7.1991. 00:00:00,74.35
1.8.1991. 00:00:00,74.33
5.8.1991. 00:00:00,74.31
10.8.1991. 00:00:00,74.34
15.8.1991. 00:00:00,74.32
20.8.1991. 00:00:00,74.31
25.8.1991. 00:00:00,74.3
1.9.1991. 00:00:00,74.29
5.9.1991. 00:00:00,74.28
10.9.1991. 00:00:00,74.27
15.9.1991. 00:00:00,74.25
20.9.1991. 00:00:00,74.24
25.9.1991. 00:00:00,74.22
1.10.1991. 00:00:00,74.23
5.10.1991. 00:00:00,74.24
10.10.1991. 00:00:00,74.25
15.10.1991. 00:00:00,74.25
20.10.1991. 00:00:00,74.26
25.10.1991. 00:00:00,74.27
1.11.1991. 00:00:00,74.32
5.11.1991. 00:00:00,74.32
10.11.1991. 00:00:00,74.31
15.11.1991. 00:00:00,74.31
20.11.1991. 00:00:00,74.3
25.11.1991. 00:00:00,74.3
1.12.1991. 00:00:00,74.3
5.12.1991. 00:00:00,74.29
10.12.1991. 00:00:00,74.28
15.12.1991. 00:00:00,74.27
20.12.1991. 00:00:00,74.28
