Datum,1NPPL-152
1.4.2002. 00:00:00,94.43
5.4.2002. 00:00:00,94.65
10.4.2002. 00:00:00,94.86
15.4.2002. 00:00:00,95.08
20.4.2002. 00:00:00,94.87
25.4.2002. 00:00:00,94.65
1.5.2002. 00:00:00,94.44
5.5.2002. 00:00:00,94.39
10.5.2002. 00:00:00,94.36
15.5.2002. 00:00:00,94.32
20.5.2002. 00:00:00,94.27
25.5.2002. 00:00:00,94.23
1.6.2002. 00:00:00,94.25
5.6.2002. 00:00:00,94.53
10.6.2002. 00:00:00,94.57
15.6.2002. 00:00:00,94.35
20.6.2002. 00:00:00,94.14
25.6.2002. 00:00:00,94.01
1.7.2002. 00:00:00,93.88
5.7.2002. 00:00:00,93.76
10.7.2002. 00:00:00,93.68
15.7.2002. 00:00:00,93.6
20.7.2002. 00:00:00,93.62
25.7.2002. 00:00:00,93.64
1.8.2002. 00:00:00,93.32
5.8.2002. 00:00:00,93.35
10.8.2002. 00:00:00,93.48
15.8.2002. 00:00:00,93.63
20.8.2002. 00:00:00,93.78
25.8.2002. 00:00:00,93.8
1.9.2002. 00:00:00,93.8
5.9.2002. 00:00:00,93.93
10.9.2002. 00:00:00,93.82
15.9.2002. 00:00:00,93.7
20.9.2002. 00:00:00,93.57
25.9.2002. 00:00:00,92.72
1.10.2002. 00:00:00,93.76
5.10.2002. 00:00:00,93.81
10.10.2002. 00:00:00,93.85
15.10.2002. 00:00:00,93.88
20.10.2002. 00:00:00,93.91
25.10.2002. 00:00:00,93.94
1.11.2002. 00:00:00,93.96
5.11.2002. 00:00:00,94.0
10.11.2002. 00:00:00,94.02
15.11.2002. 00:00:00,94.04
20.11.2002. 00:00:00,94.06
25.11.2002. 00:00:00,94.08
1.12.2002. 00:00:00,94.1
5.12.2002. 00:00:00,94.12
10.12.2002. 00:00:00,94.14
15.12.2002. 00:00:00,94.17
20.12.2002. 00:00:00,94.26
25.12.2002. 00:00:00,94.36
1.1.2003. 00:00:00,94.45
5.1.2003. 00:00:00,94.56
10.1.2003. 00:00:00,94.66
15.1.2003. 00:00:00,94.75
20.1.2003. 00:00:00,94.96
25.1.2003. 00:00:00,95.07
1.2.2003. 00:00:00,95.1
5.2.2003. 00:00:00,95.01
10.2.2003. 00:00:00,94.93
15.2.2003. 00:00:00,94.84
20.2.2003. 00:00:00,94.75
25.2.2003. 00:00:00,94.67
1.3.2003. 00:00:00,94.59
5.3.2003. 00:00:00,94.51
10.3.2003. 00:00:00,94.43
15.3.2003. 00:00:00,94.35
20.3.2003. 00:00:00,94.27
25.3.2003. 00:00:00,94.19
1.4.2003. 00:00:00,94.18
10.4.2003. 00:00:00,94.18
20.4.2003. 00:00:00,94.19
1.5.2003. 00:00:00,94.19
10.5.2003. 00:00:00,94.2
20.5.2003. 00:00:00,94.16
1.6.2003. 00:00:00,94.14
10.6.2003. 00:00:00,94.11
20.6.2003. 00:00:00,94.1
1.7.2003. 00:00:00,94.0
10.7.2003. 00:00:00,93.89
20.7.2003. 00:00:00,93.8
1.8.2003. 00:00:00,93.69
10.8.2003. 00:00:00,93.59
20.8.2003. 00:00:00,93.49
1.9.2003. 00:00:00,93.39
10.9.2003. 00:00:00,93.3
20.9.2003. 00:00:00,93.17
1.10.2003. 00:00:00,93.03
10.10.2003. 00:00:00,93.01
20.10.2003. 00:00:00,92.99
1.11.2003. 00:00:00,92.97
10.11.2003. 00:00:00,92.96
20.11.2003. 00:00:00,92.95
1.12.2003. 00:00:00,92.94
10.12.2003. 00:00:00,92.93
20.12.2003. 00:00:00,92.92
1.2.2004. 00:00:00,94.11
10.2.2004. 00:00:00,94.13
20.2.2004. 00:00:00,94.15
1.3.2004. 00:00:00,94.53
10.3.2004. 00:00:00,94.86
20.3.2004. 00:00:00,94.97
1.4.2004. 00:00:00,94.89
10.4.2004. 00:00:00,94.8
20.4.2004. 00:00:00,94.71
1.5.2004. 00:00:00,94.51
10.5.2004. 00:00:00,94.35
20.5.2004. 00:00:00,94.24
1.6.2004. 00:00:00,94.13
10.6.2004. 00:00:00,94.0
20.6.2004. 00:00:00,93.88
1.7.2004. 00:00:00,94.14
10.7.2004. 00:00:00,94.09
20.7.2004. 00:00:00,94.04
1.8.2004. 00:00:00,93.88
10.8.2004. 00:00:00,93.76
20.8.2004. 00:00:00,93.7
1.9.2004. 00:00:00,93.6
10.9.2004. 00:00:00,93.56
20.9.2004. 00:00:00,93.48
1.10.2004. 00:00:00,93.31
10.10.2004. 00:00:00,93.48
20.10.2004. 00:00:00,93.7
1.11.2004. 00:00:00,93.68
10.11.2004. 00:00:00,93.7
20.11.2004. 00:00:00,94.38
1.12.2004. 00:00:00,94.41
10.12.2004. 00:00:00,94.24
20.12.2004. 00:00:00,94.21
1.1.2005. 00:00:00,94.49
10.1.2005. 00:00:00,94.31
20.1.2005. 00:00:00,94.09
1.2.2005. 00:00:00,94.18
10.2.2005. 00:00:00,94.14
20.2.2005. 00:00:00,94.87
1.3.2005. 00:00:00,95.49
10.3.2005. 00:00:00,96.01
20.3.2005. 00:00:00,97.3
1.4.2005. 00:00:00,97.14
10.4.2005. 00:00:00,95.09
20.4.2005. 00:00:00,96.04
1.5.2005. 00:00:00,94.97
10.5.2005. 00:00:00,95.06
20.5.2005. 00:00:00,94.93
1.6.2005. 00:00:00,94.55
10.6.2005. 00:00:00,94.98
20.6.2005. 00:00:00,94.57
1.7.2005. 00:00:00,94.02
10.7.2005. 00:00:00,94.25
20.7.2005. 00:00:00,94.11
1.8.2005. 00:00:00,93.32
10.8.2005. 00:00:00,94.09
20.8.2005. 00:00:00,94.36
1.9.2005. 00:00:00,93.97
10.9.2005. 00:00:00,93.74
20.9.2005. 00:00:00,93.74
1.10.2005. 00:00:00,93.82
10.10.2005. 00:00:00,93.81
20.10.2005. 00:00:00,93.8
1.11.2005. 00:00:00,93.71
10.11.2005. 00:00:00,93.72
20.11.2005. 00:00:00,94.0
1.12.2005. 00:00:00,94.87
10.12.2005. 00:00:00,94.73
20.12.2005. 00:00:00,94.33
1.1.2006. 00:00:00,95.04
10.1.2006. 00:00:00,94.72
20.1.2006. 00:00:00,94.48
1.2.2006. 00:00:00,94.28
10.2.2006. 00:00:00,94.05
20.2.2006. 00:00:00,95.59
1.3.2006. 00:00:00,92.81
10.3.2006. 00:00:00,96.63
20.3.2006. 00:00:00,
1.4.2006. 00:00:00,
10.4.2006. 00:00:00,
20.4.2006. 00:00:00,96.03
1.5.2006. 00:00:00,95.41
10.5.2006. 00:00:00,95.34
20.5.2006. 00:00:00,94.94
1.6.2006. 00:00:00,94.4
10.6.2006. 00:00:00,94.66
20.6.2006. 00:00:00,94.7
1.7.2006. 00:00:00,94.03
10.7.2006. 00:00:00,94.01
20.7.2006. 00:00:00,93.71
1.8.2006. 00:00:00,93.59
10.8.2006. 00:00:00,93.64
20.8.2006. 00:00:00,93.43
1.9.2006. 00:00:00,93.43
10.9.2006. 00:00:00,93.36
20.9.2006. 00:00:00,93.26
1.10.2006. 00:00:00,93.47
10.10.2006. 00:00:00,93.41
20.10.2006. 00:00:00,93.3
1.11.2006. 00:00:00,93.38
10.11.2006. 00:00:00,93.49
20.11.2006. 00:00:00,93.33
1.12.2006. 00:00:00,92.94
10.12.2006. 00:00:00,93.23
20.12.2006. 00:00:00,93.24
1.1.2007. 00:00:00,93.29
10.1.2007. 00:00:00,93.54
20.1.2007. 00:00:00,93.66
1.2.2007. 00:00:00,93.76
10.2.2007. 00:00:00,93.63
20.2.2007. 00:00:00,93.78
1.3.2007. 00:00:00,93.93
10.3.2007. 00:00:00,94.08
20.3.2007. 00:00:00,93.62
1.4.2007. 00:00:00,94.55
10.4.2007. 00:00:00,94.0
20.4.2007. 00:00:00,93.88
1.5.2007. 00:00:00,93.65
10.5.2007. 00:00:00,93.5
20.5.2007. 00:00:00,94.04
1.6.2007. 00:00:00,94.12
10.6.2007. 00:00:00,94.02
20.6.2007. 00:00:00,93.68
1.7.2007. 00:00:00,93.31
10.7.2007. 00:00:00,93.15
20.7.2007. 00:00:00,93.12
1.8.2007. 00:00:00,92.98
10.8.2007. 00:00:00,93.05
20.8.2007. 00:00:00,93.05
1.9.2007. 00:00:00,92.93
10.9.2007. 00:00:00,92.98
20.9.2007. 00:00:00,93.03
1.10.2007. 00:00:00,92.93
10.10.2007. 00:00:00,92.78
20.10.2007. 00:00:00,93.38
1.11.2007. 00:00:00,93.77
10.11.2007. 00:00:00,93.88
20.11.2007. 00:00:00,94.33
1.12.2007. 00:00:00,95.59
10.12.2007. 00:00:00,95.49
20.12.2007. 00:00:00,94.37
1.1.2008. 00:00:00,93.95
10.1.2008. 00:00:00,94.28
20.1.2008. 00:00:00,94.25
1.2.2008. 00:00:00,94.21
10.2.2008. 00:00:00,94.28
20.2.2008. 00:00:00,94.17
1.3.2008. 00:00:00,94.15
10.3.2008. 00:00:00,94.26
20.3.2008. 00:00:00,94.35
1.4.2008. 00:00:00,95.13
10.4.2008. 00:00:00,94.42
15.4.2008. 00:00:00,94.89
1.5.2008. 00:00:00,94.18
10.5.2008. 00:00:00,94.48
20.5.2008. 00:00:00,93.91
1.6.2008. 00:00:00,93.69
10.6.2008. 00:00:00,93.68
20.6.2008. 00:00:00,93.65
1.7.2008. 00:00:00,93.38
10.7.2008. 00:00:00,93.79
20.7.2008. 00:00:00,93.68
1.8.2008. 00:00:00,93.66
10.8.2008. 00:00:00,93.48
20.8.2008. 00:00:00,93.68
1.9.2008. 00:00:00,93.81
10.9.2008. 00:00:00,93.88
20.9.2008. 00:00:00,93.94
1.10.2008. 00:00:00,93.98
10.10.2008. 00:00:00,93.85
20.10.2008. 00:00:00,93.83
1.11.2008. 00:00:00,93.78
10.11.2008. 00:00:00,93.73
20.11.2008. 00:00:00,93.63
1.12.2008. 00:00:00,93.75
10.12.2008. 00:00:00,94.03
20.12.2008. 00:00:00,94.21
1.2.2009. 00:00:00,94.57
10.2.2009. 00:00:00,94.41
20.2.2009. 00:00:00,94.53
1.3.2009. 00:00:00,94.62
10.3.2009. 00:00:00,95.97
20.3.2009. 00:00:00,94.89
1.4.2009. 00:00:00,95.92
10.4.2009. 00:00:00,95.07
20.4.2009. 00:00:00,94.55
1.5.2009. 00:00:00,94.41
10.5.2009. 00:00:00,94.11
20.5.2009. 00:00:00,93.94
1.6.2009. 00:00:00,93.87
10.6.2009. 00:00:00,93.9
20.6.2009. 00:00:00,93.68
1.7.2009. 00:00:00,93.96
10.7.2009. 00:00:00,94.34
20.7.2009. 00:00:00,93.88
1.8.2009. 00:00:00,93.77
10.8.2009. 00:00:00,93.67
20.8.2009. 00:00:00,93.58
1.9.2009. 00:00:00,93.56
10.9.2009. 00:00:00,93.49
20.9.2009. 00:00:00,93.47
1.10.2009. 00:00:00,93.53
10.10.2009. 00:00:00,93.59
20.10.2009. 00:00:00,93.78
20.1.2010. 00:00:00,94.49
1.2.2010. 00:00:00,94.53
10.2.2010. 00:00:00,94.38
20.2.2010. 00:00:00,
1.3.2010. 00:00:00,
10.3.2010. 00:00:00,
20.3.2010. 00:00:00,95.42
1.4.2010. 00:00:00,95.38
10.4.2010. 00:00:00,94.99
20.4.2010. 00:00:00,
1.5.2010. 00:00:00,95.03
10.5.2010. 00:00:00,95.06
20.5.2010. 00:00:00,95.18
1.6.2010. 00:00:00,95.2
10.6.2010. 00:00:00,95.22
20.6.2010. 00:00:00,94.38
1.7.2010. 00:00:00,94.36
10.7.2010. 00:00:00,94.28
20.7.2010. 00:00:00,94.32
1.8.2010. 00:00:00,94.3
10.8.2010. 00:00:00,94.26
20.8.2010. 00:00:00,94.32
1.9.2010. 00:00:00,94.28
10.9.2010. 00:00:00,94.24
20.9.2010. 00:00:00,94.2
1.10.2010. 00:00:00,94.1
10.10.2010. 00:00:00,94.02
20.10.2010. 00:00:00,93.82
1.11.2010. 00:00:00,93.8
10.11.2010. 00:00:00,93.74
20.11.2010. 00:00:00,93.68
1.12.2010. 00:00:00,93.86
10.12.2010. 00:00:00,94.0
20.12.2010. 00:00:00,94.12
1.1.2011. 00:00:00,94.36
10.1.2011. 00:00:00,94.28
20.1.2011. 00:00:00,94.26
1.2.2011. 00:00:00,94.24
10.2.2011. 00:00:00,94.3
20.2.2011. 00:00:00,94.34
1.3.2011. 00:00:00,94.4
10.3.2011. 00:00:00,94.48
20.3.2011. 00:00:00,94.72
1.4.2011. 00:00:00,94.63
10.4.2011. 00:00:00,94.54
20.4.2011. 00:00:00,94.48
1.5.2011. 00:00:00,94.42
10.5.2011. 00:00:00,94.38
20.5.2011. 00:00:00,94.34
1.7.2011. 00:00:00,93.94
10.7.2011. 00:00:00,93.8
20.7.2011. 00:00:00,93.72
1.8.2011. 00:00:00,93.51
10.8.2011. 00:00:00,93.48
20.8.2011. 00:00:00,93.42
1.9.2011. 00:00:00,93.4
10.9.2011. 00:00:00,93.37
20.9.2011. 00:00:00,93.37
1.10.2011. 00:00:00,93.38
10.10.2011. 00:00:00,93.42
20.10.2011. 00:00:00,93.42
1.11.2011. 00:00:00,93.42
10.11.2011. 00:00:00,93.44
20.11.2011. 00:00:00,93.44
1.12.2011. 00:00:00,93.48
10.12.2011. 00:00:00,93.52
20.12.2011. 00:00:00,93.52
1.1.2012. 00:00:00,93.5
10.1.2012. 00:00:00,93.48
20.1.2012. 00:00:00,93.5
20.2.2012. 00:00:00,93.9
1.3.2012. 00:00:00,93.9
10.3.2012. 00:00:00,94.14
20.3.2012. 00:00:00,94.14
1.4.2012. 00:00:00,94.3
10.4.2012. 00:00:00,94.62
20.4.2012. 00:00:00,94.74
1.5.2012. 00:00:00,94.8
10.5.2012. 00:00:00,95.3
20.5.2012. 00:00:00,95.34
1.6.2012. 00:00:00,94.82
10.6.2012. 00:00:00,94.88
20.6.2012. 00:00:00,94.8
1.7.2012. 00:00:00,94.78
10.7.2012. 00:00:00,94.74
20.7.2012. 00:00:00,94.72
1.8.2012. 00:00:00,95.3
10.8.2012. 00:00:00,95.1
20.8.2012. 00:00:00,95.2
1.9.2012. 00:00:00,94.7
10.9.2012. 00:00:00,93.82
20.9.2012. 00:00:00,93.7
1.10.2012. 00:00:00,93.46
10.10.2012. 00:00:00,93.42
20.10.2012. 00:00:00,93.4
1.11.2012. 00:00:00,93.44
10.11.2012. 00:00:00,93.4
20.11.2012. 00:00:00,93.38
1.12.2012. 00:00:00,93.38
10.12.2012. 00:00:00,93.34
20.12.2012. 00:00:00,93.32
1.1.2013. 00:00:00,93.28
10.1.2013. 00:00:00,93.3
20.1.2013. 00:00:00,93.34
1.2.2013. 00:00:00,93.7
10.2.2013. 00:00:00,93.7
20.2.2013. 00:00:00,94.12
1.3.2013. 00:00:00,94.3
10.3.2013. 00:00:00,94.5
20.3.2013. 00:00:00,94.52
1.4.2013. 00:00:00,94.7
10.4.2013. 00:00:00,94.92
20.4.2013. 00:00:00,94.8
1.5.2013. 00:00:00,94.68
10.5.2013. 00:00:00,94.52
20.5.2013. 00:00:00,94.52
1.6.2013. 00:00:00,94.24
10.6.2013. 00:00:00,94.12
20.6.2013. 00:00:00,93.98
1.8.2013. 00:00:00,93.67
10.8.2013. 00:00:00,93.67
20.8.2013. 00:00:00,93.7
1.9.2013. 00:00:00,93.74
10.9.2013. 00:00:00,93.82
20.9.2013. 00:00:00,93.82
1.10.2013. 00:00:00,93.88
10.10.2013. 00:00:00,93.86
20.10.2013. 00:00:00,93.86
1.12.2013. 00:00:00,93.64
10.12.2013. 00:00:00,93.64
20.12.2013. 00:00:00,93.6
1.1.2014. 00:00:00,93.6
10.1.2014. 00:00:00,93.6
20.1.2014. 00:00:00,93.58
1.2.2014. 00:00:00,93.58
10.2.2014. 00:00:00,93.56
20.2.2014. 00:00:00,93.56
1.3.2014. 00:00:00,93.56
10.3.2014. 00:00:00,
20.3.2014. 00:00:00,
1.4.2014. 00:00:00,
10.4.2014. 00:00:00,
20.4.2014. 00:00:00,
1.5.2014. 00:00:00,94.8
10.5.2014. 00:00:00,94.7
20.5.2014. 00:00:00,94.7
1.6.2014. 00:00:00,94.38
10.6.2014. 00:00:00,94.35
20.6.2014. 00:00:00,94.32
1.7.2014. 00:00:00,94.3
10.7.2014. 00:00:00,94.32
20.7.2014. 00:00:00,94.32
1.8.2014. 00:00:00,94.34
10.8.2014. 00:00:00,94.4
20.8.2014. 00:00:00,94.4
1.10.2014. 00:00:00,94.28
10.10.2014. 00:00:00,94.18
20.10.2014. 00:00:00,94.13
1.11.2014. 00:00:00,94.28
10.11.2014. 00:00:00,94.3
20.11.2014. 00:00:00,94.32
1.12.2014. 00:00:00,94.32
10.12.2014. 00:00:00,94.38
20.12.2014. 00:00:00,94.4
1.1.2015. 00:00:00,94.4
10.1.2015. 00:00:00,94.5
20.1.2015. 00:00:00,94.5
1.2.2015. 00:00:00,94.5
10.2.2015. 00:00:00,94.54
20.2.2015. 00:00:00,94.56
1.3.2015. 00:00:00,94.7
10.3.2015. 00:00:00,94.72
20.3.2015. 00:00:00,94.72
1.4.2015. 00:00:00,
10.4.2015. 00:00:00,
20.4.2015. 00:00:00,
20.6.2015. 00:00:00,94.28
1.7.2015. 00:00:00,94.21
10.7.2015. 00:00:00,94.13
20.7.2015. 00:00:00,93.56
1.8.2015. 00:00:00,93.46
20.8.2015. 00:00:00,93.38
20.9.2015. 00:00:00,93.63
1.10.2015. 00:00:00,93.91
10.10.2015. 00:00:00,94.11
20.10.2015. 00:00:00,94.3
1.11.2015. 00:00:00,94.24
1.12.2015. 00:00:00,94.24
10.12.2015. 00:00:00,94.29
20.12.2015. 00:00:00,94.13
1.1.2016. 00:00:00,94.1
10.1.2016. 00:00:00,94.66
20.1.2016. 00:00:00,94.58
1.2.2016. 00:00:00,94.8
10.2.2016. 00:00:00,94.54
20.2.2016. 00:00:00,94.73
1.3.2016. 00:00:00,94.73
10.3.2016. 00:00:00,
1.4.2016. 00:00:00,95.62
1.5.2016. 00:00:00,95.67
10.5.2016. 00:00:00,95.47
20.5.2016. 00:00:00,94.95
1.6.2016. 00:00:00,94.58
10.6.2016. 00:00:00,94.58
20.6.2016. 00:00:00,94.43
1.7.2016. 00:00:00,94.23
10.7.2016. 00:00:00,94.28
20.7.2016. 00:00:00,94.04
1.8.2016. 00:00:00,93.98
10.8.2016. 00:00:00,93.98
20.8.2016. 00:00:00,93.99
1.9.2016. 00:00:00,93.88
10.9.2016. 00:00:00,93.97
20.9.2016. 00:00:00,93.84
1.10.2016. 00:00:00,93.78
10.10.2016. 00:00:00,93.78
20.10.2016. 00:00:00,94.03
1.11.2016. 00:00:00,94.58
10.11.2016. 00:00:00,95.28
20.11.2016. 00:00:00,94.99
1.12.2016. 00:00:00,94.43
10.12.2016. 00:00:00,94.53
20.12.2016. 00:00:00,94.47
1.1.2017. 00:00:00,94.09
10.1.2017. 00:00:00,94.16
20.1.2017. 00:00:00,94.19
1.2.2017. 00:00:00,94.08
10.2.2017. 00:00:00,94.83
20.2.2017. 00:00:00,94.88
1.3.2017. 00:00:00,94.44
10.3.2017. 00:00:00,94.68
20.3.2017. 00:00:00,94.93
1.4.2017. 00:00:00,94.44
10.4.2017. 00:00:00,94.38
20.4.2017. 00:00:00,94.61
1.5.2017. 00:00:00,94.53
10.5.2017. 00:00:00,94.58
20.5.2017. 00:00:00,94.4
1.6.2017. 00:00:00,94.48
10.6.2017. 00:00:00,94.45
20.6.2017. 00:00:00,94.21
1.7.2017. 00:00:00,93.96
10.7.2017. 00:00:00,93.96
20.7.2017. 00:00:00,93.93
1.8.2017. 00:00:00,94.08
10.8.2017. 00:00:00,94.06
20.8.2017. 00:00:00,94.03
1.9.2017. 00:00:00,93.98
10.9.2017. 00:00:00,93.98
20.9.2017. 00:00:00,93.98
1.10.2017. 00:00:00,94.08
10.10.2017. 00:00:00,94.08
20.10.2017. 00:00:00,94.08
1.11.2017. 00:00:00,94.38
10.11.2017. 00:00:00,94.28
20.11.2017. 00:00:00,94.2
1.12.2017. 00:00:00,94.48
10.12.2017. 00:00:00,94.68
20.12.2017. 00:00:00,94.78
