Datum,1NP894
20/09/1965 00:00:00,70.79
30/09/1965 00:00:00,70.69
10/10/1965 00:00:00,70.65
20/10/1965 00:00:00,70.59
30/10/1965 00:00:00,70.53
10/11/1965 00:00:00,70.45
20/11/1965 00:00:00,70.39
30/11/1965 00:00:00,70.33
10/12/1965 00:00:00,70.28
20/12/1965 00:00:00,70.33
30/12/1965 00:00:00,70.38
10/01/1966 00:00:00,70.72
20/01/1966 00:00:00,70.54
30/01/1966 00:00:00,70.58
10/02/1966 00:00:00,70.74
20/02/1966 00:00:00,70.93
28/02/1966 00:00:00,71.04
10/03/1966 00:00:00,71.03
20/03/1966 00:00:00,71.09
30/03/1966 00:00:00,71.13
10/04/1966 00:00:00,71.18
20/04/1966 00:00:00,71.24
30/04/1966 00:00:00,71.18
10/05/1966 00:00:00,71.22
20/05/1966 00:00:00,71.18
30/05/1966 00:00:00,71.14
10/06/1966 00:00:00,71.2
20/06/1966 00:00:00,71.13
30/06/1966 00:00:00,71.25
10/07/1966 00:00:00,71.04
20/07/1966 00:00:00,70.96
30/07/1966 00:00:00,70.85
10/08/1966 00:00:00,70.84
20/08/1966 00:00:00,70.75
30/08/1966 00:00:00,70.63
10/09/1966 00:00:00,70.7
20/09/1966 00:00:00,70.59
30/09/1966 00:00:00,70.53
10/10/1966 00:00:00,70.55
20/10/1966 00:00:00,70.49
30/10/1966 00:00:00,70.37
10/11/1966 00:00:00,70.4
20/11/1966 00:00:00,70.37
30/11/1966 00:00:00,70.34
10/12/1966 00:00:00,70.4
20/12/1966 00:00:00,70.44
30/12/1966 00:00:00,70.47
10/01/1967 00:00:00,70.5
20/01/1967 00:00:00,70.59
30/01/1967 00:00:00,70.68
10/02/1967 00:00:00,70.7
20/02/1967 00:00:00,70.73
28/02/1967 00:00:00,70.75
10/03/1967 00:00:00,70.85
20/03/1967 00:00:00,70.91
30/03/1967 00:00:00,70.99
10/04/1967 00:00:00,71.04
20/04/1967 00:00:00,71.13
30/04/1967 00:00:00,71.46
10/05/1967 00:00:00,71.49
20/05/1967 00:00:00,71.55
30/05/1967 00:00:00,71.55
10/06/1967 00:00:00,71.5
20/06/1967 00:00:00,71.46
30/06/1967 00:00:00,71.38
10/07/1967 00:00:00,71.4
20/07/1967 00:00:00,71.33
30/07/1967 00:00:00,71.29
10/08/1967 00:00:00,71.23
20/08/1967 00:00:00,71.15
30/08/1967 00:00:00,70.94
10/09/1967 00:00:00,70.88
20/09/1967 00:00:00,70.8
30/09/1967 00:00:00,70.6
10/10/1967 00:00:00,70.6
20/10/1967 00:00:00,70.49
30/10/1967 00:00:00,70.45
10/11/1967 00:00:00,70.44
20/11/1967 00:00:00,70.3
30/11/1967 00:00:00,70.27
10/12/1967 00:00:00,70.22
20/12/1967 00:00:00,70.22
30/12/1967 00:00:00,70.37
10/01/1968 00:00:00,70.46
20/01/1968 00:00:00,70.38
30/01/1968 00:00:00,70.4
10/02/1968 00:00:00,70.49
20/02/1968 00:00:00,70.79
28/02/1968 00:00:00,70.68
10/03/1968 00:00:00,70.79
20/03/1968 00:00:00,70.6
30/03/1968 00:00:00,70.67
10/04/1968 00:00:00,70.67
20/04/1968 00:00:00,70.57
30/04/1968 00:00:00,70.71
10/05/1968 00:00:00,70.79
20/05/1968 00:00:00,70.75
30/05/1968 00:00:00,70.6
10/06/1968 00:00:00,70.83
20/06/1968 00:00:00,70.74
30/06/1968 00:00:00,70.69
10/07/1968 00:00:00,70.59
20/07/1968 00:00:00,70.45
30/07/1968 00:00:00,70.31
10/08/1968 00:00:00,70.26
20/08/1968 00:00:00,70.27
30/08/1968 00:00:00,70.32
10/09/1968 00:00:00,70.42
20/09/1968 00:00:00,70.45
30/09/1968 00:00:00,70.54
10/10/1968 00:00:00,70.55
20/10/1968 00:00:00,70.65
30/10/1968 00:00:00,70.68
10/11/1968 00:00:00,70.7
20/11/1968 00:00:00,70.74
30/11/1968 00:00:00,70.72
10/12/1968 00:00:00,70.78
20/12/1968 00:00:00,70.82
30/12/1968 00:00:00,70.84
10/01/1970 00:00:00,70.34
20/01/1970 00:00:00,70.5
30/01/1970 00:00:00,70.48
10/02/1970 00:00:00,70.74
20/02/1970 00:00:00,70.81
28/02/1970 00:00:00,70.96
10/03/1970 00:00:00,71.08
20/03/1970 00:00:00,71.2
30/03/1970 00:00:00,71.42
10/04/1970 00:00:00,71.63
20/04/1970 00:00:00,72.13
30/04/1970 00:00:00,72.26
10/05/1970 00:00:00,72.35
20/05/1970 00:00:00,72.46
30/05/1970 00:00:00,73.36
10/06/1970 00:00:00,73.23
20/06/1970 00:00:00,72.86
30/06/1970 00:00:00,72.66
10/07/1970 00:00:00,72.66
20/07/1970 00:00:00,72.36
30/07/1970 00:00:00,72.16
10/08/1970 00:00:00,71.96
20/08/1970 00:00:00,71.46
30/08/1970 00:00:00,70.75
10/09/1970 00:00:00,70.45
20/09/1970 00:00:00,70.36
30/09/1970 00:00:00,70.26
10/10/1970 00:00:00,70.41
20/10/1970 00:00:00,70.65
30/10/1970 00:00:00,70.85
10/11/1970 00:00:00,70.94
20/11/1970 00:00:00,70.89
30/11/1970 00:00:00,70.83
10/12/1970 00:00:00,70.83
20/12/1970 00:00:00,70.73
30/12/1970 00:00:00,70.73
10/01/1971 00:00:00,70.79
20/01/1971 00:00:00,70.83
30/01/1971 00:00:00,70.76
10/02/1971 00:00:00,70.8
20/02/1971 00:00:00,70.8
28/02/1971 00:00:00,70.91
10/03/1971 00:00:00,70.96
20/03/1971 00:00:00,70.96
30/03/1971 00:00:00,71.3
10/04/1971 00:00:00,71.5
20/04/1971 00:00:00,71.65
30/04/1971 00:00:00,71.69
10/05/1971 00:00:00,71.6
20/05/1971 00:00:00,71.44
30/05/1971 00:00:00,71.39
10/06/1971 00:00:00,71.65
20/06/1971 00:00:00,71.46
30/06/1971 00:00:00,71.26
10/07/1971 00:00:00,71.04
20/07/1971 00:00:00,70.99
30/07/1971 00:00:00,70.88
10/08/1971 00:00:00,70.8
20/08/1971 00:00:00,70.66
30/08/1971 00:00:00,70.56
10/09/1971 00:00:00,70.59
20/09/1971 00:00:00,70.73
30/09/1971 00:00:00,70.76
10/10/1971 00:00:00,70.76
20/10/1971 00:00:00,70.66
30/10/1971 00:00:00,70.66
10/11/1971 00:00:00,70.66
