Datum,1NP890
10/01/1961 00:00:00,71.69
20/01/1961 00:00:00,71.72
30/01/1961 00:00:00,71.72
10/02/1961 00:00:00,71.7
20/02/1961 00:00:00,71.69
28/02/1961 00:00:00,71.72
10/03/1961 00:00:00,71.7
20/03/1961 00:00:00,71.68
30/03/1961 00:00:00,71.67
10/04/1961 00:00:00,71.4
20/04/1961 00:00:00,71.44
30/04/1961 00:00:00,71.58
10/05/1961 00:00:00,71.63
20/05/1961 00:00:00,71.63
30/05/1961 00:00:00,71.74
10/06/1961 00:00:00,71.85
20/06/1961 00:00:00,71.83
30/06/1961 00:00:00,71.84
10/07/1961 00:00:00,71.87
20/07/1961 00:00:00,71.87
30/07/1961 00:00:00,71.86
10/08/1961 00:00:00,71.83
20/08/1961 00:00:00,71.83
30/08/1961 00:00:00,71.82
10/09/1961 00:00:00,71.84
20/09/1961 00:00:00,71.7
30/09/1961 00:00:00,71.71
10/10/1961 00:00:00,71.68
20/10/1961 00:00:00,71.66
30/10/1961 00:00:00,71.63
10/11/1961 00:00:00,71.58
20/11/1961 00:00:00,71.62
30/11/1961 00:00:00,71.58
10/12/1961 00:00:00,71.54
20/12/1961 00:00:00,71.53
30/12/1961 00:00:00,71.51
10/01/1962 00:00:00,71.48
20/01/1962 00:00:00,71.46
30/01/1962 00:00:00,71.44
10/02/1962 00:00:00,71.43
20/02/1962 00:00:00,71.43
28/02/1962 00:00:00,71.42
10/03/1962 00:00:00,71.42
20/03/1962 00:00:00,71.42
30/03/1962 00:00:00,71.56
10/04/1962 00:00:00,71.72
20/04/1962 00:00:00,71.72
30/04/1962 00:00:00,71.79
10/05/1962 00:00:00,71.91
20/05/1962 00:00:00,71.79
30/05/1962 00:00:00,71.6
10/06/1962 00:00:00,72.12
20/06/1962 00:00:00,72.18
30/06/1962 00:00:00,72.21
10/07/1962 00:00:00,72.22
20/07/1962 00:00:00,72.23
30/07/1962 00:00:00,72.22
10/08/1962 00:00:00,72.19
20/08/1962 00:00:00,72.17
30/08/1962 00:00:00,72.13
10/09/1962 00:00:00,71.65
20/09/1962 00:00:00,71.83
30/09/1962 00:00:00,72.05
10/10/1962 00:00:00,72.08
20/10/1962 00:00:00,71.99
30/10/1962 00:00:00,71.95
10/11/1962 00:00:00,71.83
20/11/1962 00:00:00,71.88
30/11/1962 00:00:00,71.86
10/12/1962 00:00:00,71.83
20/12/1962 00:00:00,71.8
30/12/1962 00:00:00,71.76
10/01/1963 00:00:00,71.74
20/01/1963 00:00:00,71.72
30/01/1963 00:00:00,71.69
10/02/1963 00:00:00,71.67
20/02/1963 00:00:00,71.72
28/02/1963 00:00:00,71.74
10/03/1963 00:00:00,71.76
20/03/1963 00:00:00,71.78
30/03/1963 00:00:00,71.81
10/04/1963 00:00:00,71.99
20/04/1963 00:00:00,71.89
30/04/1963 00:00:00,71.93
10/05/1963 00:00:00,71.96
20/05/1963 00:00:00,72.0
30/05/1963 00:00:00,72.06
10/06/1963 00:00:00,72.11
20/06/1963 00:00:00,72.12
30/06/1963 00:00:00,72.12
