Datum,1NP891
10/07/1960 00:00:00,72.11
20/07/1960 00:00:00,72.07
30/07/1960 00:00:00,72.03
10/08/1960 00:00:00,72.01
20/08/1960 00:00:00,71.93
30/08/1960 00:00:00,71.97
10/09/1960 00:00:00,71.95
20/09/1960 00:00:00,71.95
30/09/1960 00:00:00,71.93
10/10/1960 00:00:00,71.9
20/10/1960 00:00:00,71.92
30/10/1960 00:00:00,71.89
10/11/1960 00:00:00,71.91
20/11/1960 00:00:00,71.91
30/11/1960 00:00:00,71.92
10/12/1960 00:00:00,71.88
20/12/1960 00:00:00,71.85
30/12/1960 00:00:00,71.9
10/01/1961 00:00:00,71.91
20/01/1961 00:00:00,71.93
30/01/1961 00:00:00,71.95
10/02/1961 00:00:00,71.92
20/02/1961 00:00:00,71.91
28/02/1961 00:00:00,71.93
10/03/1961 00:00:00,71.92
20/03/1961 00:00:00,71.9
30/03/1961 00:00:00,71.89
10/04/1961 00:00:00,71.89
20/04/1961 00:00:00,71.9
30/04/1961 00:00:00,71.79
10/05/1961 00:00:00,71.95
20/05/1961 00:00:00,72.02
30/05/1961 00:00:00,72.08
10/06/1961 00:00:00,72.07
20/06/1961 00:00:00,72.1
30/06/1961 00:00:00,72.25
10/07/1961 00:00:00,72.24
20/07/1961 00:00:00,72.25
30/07/1961 00:00:00,72.28
10/08/1961 00:00:00,72.2
20/08/1961 00:00:00,72.17
30/08/1961 00:00:00,72.14
10/09/1961 00:00:00,72.1
20/09/1961 00:00:00,72.06
30/09/1961 00:00:00,72.04
10/10/1961 00:00:00,72.01
20/10/1961 00:00:00,71.98
30/10/1961 00:00:00,71.95
10/11/1961 00:00:00,71.93
20/11/1961 00:00:00,71.9
30/11/1961 00:00:00,71.87
10/12/1961 00:00:00,71.86
20/12/1961 00:00:00,71.83
30/12/1961 00:00:00,71.81
10/01/1962 00:00:00,71.79
20/01/1962 00:00:00,71.77
30/01/1962 00:00:00,71.75
10/02/1962 00:00:00,71.74
20/02/1962 00:00:00,71.75
28/02/1962 00:00:00,71.75
10/03/1962 00:00:00,71.76
20/03/1962 00:00:00,71.77
30/03/1962 00:00:00,71.92
10/04/1962 00:00:00,72.04
20/04/1962 00:00:00,72.19
30/04/1962 00:00:00,72.32
10/05/1962 00:00:00,72.44
20/05/1962 00:00:00,72.55
30/05/1962 00:00:00,72.61
10/06/1962 00:00:00,72.64
20/06/1962 00:00:00,72.66
30/06/1962 00:00:00,72.65
10/07/1962 00:00:00,72.63
20/07/1962 00:00:00,72.6
30/07/1962 00:00:00,72.54
10/08/1962 00:00:00,72.49
20/08/1962 00:00:00,72.46
