Datum,1NPPL-111
5.2.2005. 00:00:00,404
10.2.2005. 00:00:00,378
15.2.2005. 00:00:00,356
20.2.2005. 00:00:00,328
25.2.2005. 00:00:00,317
1.3.2005. 00:00:00,296
5.3.2005. 00:00:00,276
10.3.2005. 00:00:00,268
15.3.2005. 00:00:00,224
20.3.2005. 00:00:00,195
25.3.2005. 00:00:00,179
1.4.2005. 00:00:00,186
5.4.2005. 00:00:00,200
10.4.2005. 00:00:00,216
15.4.2005. 00:00:00,241
20.4.2005. 00:00:00,245
25.4.2005. 00:00:00,255
1.5.2005. 00:00:00,256
5.5.2005. 00:00:00,253
10.5.2005. 00:00:00,254
15.5.2005. 00:00:00,257
20.5.2005. 00:00:00,251
25.5.2005. 00:00:00,256
1.6.2005. 00:00:00,266
5.6.2005. 00:00:00,279
10.6.2005. 00:00:00,305
15.6.2005. 00:00:00,350
20.6.2005. 00:00:00,364
25.6.2005. 00:00:00,373
1.7.2005. 00:00:00,362
5.7.2005. 00:00:00,356
10.7.2005. 00:00:00,350
15.7.2005. 00:00:00,326
20.7.2005. 00:00:00,316
25.7.2005. 00:00:00,305
1.8.2005. 00:00:00,325
5.8.2005. 00:00:00,336
10.8.2005. 00:00:00,349
15.8.2005. 00:00:00,366
20.8.2005. 00:00:00,342
25.8.2005. 00:00:00,305
1.9.2005. 00:00:00,317
5.9.2005. 00:00:00,332
10.9.2005. 00:00:00,344
15.9.2005. 00:00:00,357
20.9.2005. 00:00:00,371
25.9.2005. 00:00:00,377
1.10.2005. 00:00:00,374
5.10.2005. 00:00:00,380
10.10.2005. 00:00:00,382
15.10.2005. 00:00:00,374
20.10.2005. 00:00:00,397
25.10.2005. 00:00:00,400
1.11.2005. 00:00:00,396
5.11.2005. 00:00:00,400
10.11.2005. 00:00:00,391
15.11.2005. 00:00:00,391
20.11.2005. 00:00:00,383
25.11.2005. 00:00:00,380
1.12.2005. 00:00:00,375
5.12.2005. 00:00:00,369
10.12.2005. 00:00:00,368
15.12.2005. 00:00:00,366
20.12.2005. 00:00:00,362
25.12.2005. 00:00:00,354
1.1.2006. 00:00:00,356
5.1.2006. 00:00:00,356
10.1.2006. 00:00:00,367
15.1.2006. 00:00:00,371
20.1.2006. 00:00:00,375
25.1.2006. 00:00:00,376
1.2.2006. 00:00:00,376
5.2.2006. 00:00:00,384
10.2.2006. 00:00:00,359
15.2.2006. 00:00:00,343
20.2.2006. 00:00:00,330
25.2.2006. 00:00:00,327
1.3.2006. 00:00:00,316
5.3.2006. 00:00:00,297
10.3.2006. 00:00:00,276
15.3.2006. 00:00:00,272
20.3.2006. 00:00:00,255
25.3.2006. 00:00:00,251
1.4.2006. 00:00:00,227
5.4.2006. 00:00:00,202
10.4.2006. 00:00:00,145
15.4.2006. 00:00:00,122
20.4.2006. 00:00:00,161
25.4.2006. 00:00:00,201
1.5.2006. 00:00:00,206
5.5.2006. 00:00:00,207
10.5.2006. 00:00:00,222
15.5.2006. 00:00:00,215
20.5.2006. 00:00:00,217
25.5.2006. 00:00:00,204
1.6.2006. 00:00:00,206
5.6.2006. 00:00:00,208
10.6.2006. 00:00:00,212
15.6.2006. 00:00:00,246
20.6.2006. 00:00:00,270
25.6.2006. 00:00:00,286
1.8.2006. 00:00:00,380
5.8.2006. 00:00:00,387
10.8.2006. 00:00:00,386
15.8.2006. 00:00:00,388
20.8.2006. 00:00:00,383
25.8.2006. 00:00:00,386
1.9.2006. 00:00:00,390
5.9.2006. 00:00:00,395
10.9.2006. 00:00:00,397
15.9.2006. 00:00:00,412
20.9.2006. 00:00:00,417
25.9.2006. 00:00:00,418
1.10.2006. 00:00:00,417
5.10.2006. 00:00:00,416
10.10.2006. 00:00:00,422
15.10.2006. 00:00:00,422
20.10.2006. 00:00:00,422
25.10.2006. 00:00:00,422
1.11.2006. 00:00:00,428
5.11.2006. 00:00:00,428
10.11.2006. 00:00:00,423
15.11.2006. 00:00:00,421
20.11.2006. 00:00:00,417
25.11.2006. 00:00:00,416
1.12.2006. 00:00:00,420
5.12.2006. 00:00:00,416
10.12.2006. 00:00:00,416
15.12.2006. 00:00:00,410
20.12.2006. 00:00:00,410
25.12.2006. 00:00:00,408
1.1.2007. 00:00:00,407
5.1.2007. 00:00:00,408
10.1.2007. 00:00:00,407
15.1.2007. 00:00:00,388
20.1.2007. 00:00:00,396
25.1.2007. 00:00:00,406
1.2.2007. 00:00:00,400
5.2.2007. 00:00:00,390
10.2.2007. 00:00:00,372
15.2.2007. 00:00:00,360
20.2.2007. 00:00:00,360
25.2.2007. 00:00:00,358
