Datum,1NPPD-144
1.8.2006. 00:00:00,86.54
10.8.2006. 00:00:00,86.54
20.8.2006. 00:00:00,86.49
1.9.2006. 00:00:00,86.44
10.9.2006. 00:00:00,86.4
20.9.2006. 00:00:00,86.34
1.10.2006. 00:00:00,86.35
10.10.2006. 00:00:00,86.31
20.10.2006. 00:00:00,86.25
1.11.2006. 00:00:00,86.22
10.11.2006. 00:00:00,86.3
20.11.2006. 00:00:00,86.3
1.12.2006. 00:00:00,86.3
10.12.2006. 00:00:00,86.27
20.12.2006. 00:00:00,86.31
1.1.2007. 00:00:00,86.35
10.1.2007. 00:00:00,86.45
20.1.2007. 00:00:00,86.45
1.2.2007. 00:00:00,86.43
10.2.2007. 00:00:00,86.49
20.2.2007. 00:00:00,86.57
1.3.2007. 00:00:00,86.59
10.3.2007. 00:00:00,86.65
20.3.2007. 00:00:00,86.7
1.4.2007. 00:00:00,86.72
10.4.2007. 00:00:00,86.74
20.4.2007. 00:00:00,86.67
1.5.2007. 00:00:00,86.59
10.5.2007. 00:00:00,86.59
20.5.2007. 00:00:00,86.64
1.6.2007. 00:00:00,86.69
10.6.2007. 00:00:00,86.64
20.6.2007. 00:00:00,86.53
1.7.2007. 00:00:00,86.5
10.7.2007. 00:00:00,86.45
20.7.2007. 00:00:00,86.34
1.8.2007. 00:00:00,86.29
10.8.2007. 00:00:00,86.24
20.8.2007. 00:00:00,86.21
1.9.2007. 00:00:00,86.17
10.9.2007. 00:00:00,86.13
20.9.2007. 00:00:00,86.11
1.10.2007. 00:00:00,86.1
10.10.2007. 00:00:00,86.07
20.10.2007. 00:00:00,86.07
1.11.2007. 00:00:00,86.1
10.11.2007. 00:00:00,86.12
20.11.2007. 00:00:00,86.19
1.12.2007. 00:00:00,86.25
10.12.2007. 00:00:00,86.31
20.12.2007. 00:00:00,86.27
1.1.2008. 00:00:00,86.27
10.1.2008. 00:00:00,86.41
20.1.2008. 00:00:00,86.47
1.2.2008. 00:00:00,86.53
10.2.2008. 00:00:00,86.59
20.2.2008. 00:00:00,86.61
1.3.2008. 00:00:00,86.59
10.3.2008. 00:00:00,86.67
20.3.2008. 00:00:00,86.73
1.4.2008. 00:00:00,86.84
10.4.2008. 00:00:00,86.81
20.4.2008. 00:00:00,86.79
1.5.2008. 00:00:00,86.76
10.5.2008. 00:00:00,86.7
20.5.2008. 00:00:00,86.65
1.6.2008. 00:00:00,86.61
10.6.2008. 00:00:00,86.55
20.6.2008. 00:00:00,86.49
1.7.2008. 00:00:00,86.43
10.7.2008. 00:00:00,86.37
20.7.2008. 00:00:00,86.33
1.8.2008. 00:00:00,86.27
10.8.2008. 00:00:00,86.33
20.8.2008. 00:00:00,86.17
1.9.2008. 00:00:00,86.12
10.9.2008. 00:00:00,86.1
20.9.2008. 00:00:00,86.07
1.10.2008. 00:00:00,86.04
10.10.2008. 00:00:00,86.04
20.10.2008. 00:00:00,86.03
1.11.2008. 00:00:00,86.02
10.11.2008. 00:00:00,86.01
20.11.2008. 00:00:00,86.0
1.12.2008. 00:00:00,86.01
10.12.2008. 00:00:00,86.01
20.12.2008. 00:00:00,86.01
10.1.2009. 00:00:00,85.99
20.1.2009. 00:00:00,86.01
1.2.2009. 00:00:00,86.43
10.2.2009. 00:00:00,86.47
20.2.2009. 00:00:00,86.51
1.3.2009. 00:00:00,86.45
10.3.2009. 00:00:00,86.39
20.3.2009. 00:00:00,86.41
1.4.2009. 00:00:00,86.63
10.4.2009. 00:00:00,86.73
20.4.2009. 00:00:00,86.94
1.5.2009. 00:00:00,86.81
10.5.2009. 00:00:00,86.69
20.5.2009. 00:00:00,86.61
1.8.2009. 00:00:00,86.35
10.8.2009. 00:00:00,86.39
20.8.2009. 00:00:00,86.42
1.9.2009. 00:00:00,86.41
10.9.2009. 00:00:00,86.42
20.9.2009. 00:00:00,86.43
1.10.2009. 00:00:00,86.41
10.10.2009. 00:00:00,86.39
20.10.2009. 00:00:00,86.39
1.11.2009. 00:00:00,86.33
10.11.2009. 00:00:00,86.25
20.11.2009. 00:00:00,86.17
1.12.2009. 00:00:00,86.21
10.12.2009. 00:00:00,86.27
20.12.2009. 00:00:00,86.33
1.1.2010. 00:00:00,86.47
10.1.2010. 00:00:00,86.61
20.1.2010. 00:00:00,86.81
1.2.2010. 00:00:00,86.87
10.2.2010. 00:00:00,86.95
20.2.2010. 00:00:00,87.09
1.3.2010. 00:00:00,87.37
10.3.2010. 00:00:00,87.45
20.3.2010. 00:00:00,87.51
1.4.2010. 00:00:00,87.57
10.4.2010. 00:00:00,87.61
20.4.2010. 00:00:00,87.39
1.5.2010. 00:00:00,87.43
10.5.2010. 00:00:00,87.25
20.5.2010. 00:00:00,87.18
1.6.2010. 00:00:00,87.15
10.6.2010. 00:00:00,87.08
20.6.2010. 00:00:00,87.01
1.7.2010. 00:00:00,86.99
10.7.2010. 00:00:00,86.97
20.7.2010. 00:00:00,86.94
1.8.2010. 00:00:00,86.87
10.8.2010. 00:00:00,86.8
20.8.2010. 00:00:00,86.77
1.9.2010. 00:00:00,86.71
10.9.2010. 00:00:00,86.6
20.9.2010. 00:00:00,86.53
1.10.2010. 00:00:00,86.51
10.10.2010. 00:00:00,86.49
20.10.2010. 00:00:00,86.47
1.11.2010. 00:00:00,86.47
10.11.2010. 00:00:00,86.45
20.11.2010. 00:00:00,86.44
1.12.2010. 00:00:00,86.47
10.12.2010. 00:00:00,86.47
20.12.2010. 00:00:00,86.47
1.1.2011. 00:00:00,86.47
10.1.2011. 00:00:00,86.55
20.1.2011. 00:00:00,86.63
1.2.2011. 00:00:00,86.69
10.2.2011. 00:00:00,86.75
20.2.2011. 00:00:00,86.79
1.3.2011. 00:00:00,86.87
10.3.2011. 00:00:00,86.97
20.3.2011. 00:00:00,87.05
1.4.2011. 00:00:00,87.23
10.4.2011. 00:00:00,87.17
20.4.2011. 00:00:00,87.13
1.5.2011. 00:00:00,87.07
10.5.2011. 00:00:00,86.87
20.5.2011. 00:00:00,86.75
1.6.2011. 00:00:00,87.11
10.6.2011. 00:00:00,87.07
20.6.2011. 00:00:00,87.07
1.7.2011. 00:00:00,86.99
10.7.2011. 00:00:00,86.93
20.7.2011. 00:00:00,86.85
1.8.2011. 00:00:00,86.77
10.8.2011. 00:00:00,86.73
20.8.2011. 00:00:00,86.67
1.9.2011. 00:00:00,86.61
10.9.2011. 00:00:00,86.57
20.9.2011. 00:00:00,86.55
1.10.2011. 00:00:00,86.47
1.12.2011. 00:00:00,86.3
10.12.2011. 00:00:00,86.28
20.12.2011. 00:00:00,86.26
1.1.2012. 00:00:00,88.1
10.1.2012. 00:00:00,88.13
20.1.2012. 00:00:00,88.15
1.2.2012. 00:00:00,88.15
10.2.2012. 00:00:00,88.19
20.2.2012. 00:00:00,88.25
1.3.2012. 00:00:00,88.29
10.3.2012. 00:00:00,88.35
20.3.2012. 00:00:00,88.41
1.4.2012. 00:00:00,88.45
10.4.2012. 00:00:00,88.27
20.4.2012. 00:00:00,88.35
1.5.2012. 00:00:00,88.59
10.5.2012. 00:00:00,88.59
20.5.2012. 00:00:00,88.57
1.6.2012. 00:00:00,88.55
10.6.2012. 00:00:00,88.56
20.6.2012. 00:00:00,88.58
1.7.2012. 00:00:00,88.47
10.7.2012. 00:00:00,88.37
20.7.2012. 00:00:00,88.33
1.8.2012. 00:00:00,88.25
10.8.2012. 00:00:00,88.25
20.8.2012. 00:00:00,88.17
1.9.2012. 00:00:00,88.15
10.9.2012. 00:00:00,88.09
20.9.2012. 00:00:00,88.07
1.10.2012. 00:00:00,88.05
10.10.2012. 00:00:00,88.05
20.10.2012. 00:00:00,88.01
1.1.2013. 00:00:00,87.99
10.1.2013. 00:00:00,88.05
20.1.2013. 00:00:00,88.1
1.2.2013. 00:00:00,88.13
10.2.2013. 00:00:00,88.31
20.2.2013. 00:00:00,88.53
1.3.2013. 00:00:00,88.53
10.3.2013. 00:00:00,88.55
20.3.2013. 00:00:00,88.55
1.4.2013. 00:00:00,88.57
10.4.2013. 00:00:00,88.65
20.4.2013. 00:00:00,88.67
1.5.2013. 00:00:00,88.73
10.5.2013. 00:00:00,88.71
20.5.2013. 00:00:00,88.65
1.6.2013. 00:00:00,88.66
10.6.2013. 00:00:00,88.68
20.6.2013. 00:00:00,88.68
1.7.2013. 00:00:00,88.65
10.7.2013. 00:00:00,88.59
20.7.2013. 00:00:00,88.53
1.8.2013. 00:00:00,88.45
10.8.2013. 00:00:00,88.63
20.8.2013. 00:00:00,88.8
1.9.2013. 00:00:00,88.8
10.9.2013. 00:00:00,88.77
20.9.2013. 00:00:00,88.72
1.10.2013. 00:00:00,88.72
10.10.2013. 00:00:00,88.72
20.10.2013. 00:00:00,88.7
1.11.2013. 00:00:00,88.71
10.11.2013. 00:00:00,88.7
20.11.2013. 00:00:00,88.69
1.12.2013. 00:00:00,88.7
10.12.2013. 00:00:00,88.7
20.12.2013. 00:00:00,88.68
1.1.2014. 00:00:00,88.67
10.1.2014. 00:00:00,88.97
20.1.2014. 00:00:00,89.17
1.2.2014. 00:00:00,89.41
10.2.2014. 00:00:00,89.45
20.2.2014. 00:00:00,89.45
1.3.2014. 00:00:00,89.47
10.3.2014. 00:00:00,89.51
20.3.2014. 00:00:00,89.51
1.4.2014. 00:00:00,89.47
10.4.2014. 00:00:00,89.25
20.4.2014. 00:00:00,88.97
1.5.2014. 00:00:00,88.83
10.5.2014. 00:00:00,89.81
20.5.2014. 00:00:00,91.17
1.6.2014. 00:00:00,91.15
10.6.2014. 00:00:00,91.11
20.6.2014. 00:00:00,91.09
1.7.2014. 00:00:00,90.88
10.7.2014. 00:00:00,90.79
20.7.2014. 00:00:00,90.73
1.8.2014. 00:00:00,90.71
10.8.2014. 00:00:00,90.71
20.8.2014. 00:00:00,90.68
1.9.2014. 00:00:00,90.61
10.9.2014. 00:00:00,90.43
20.9.2014. 00:00:00,90.28
1.10.2014. 00:00:00,90.17
10.10.2014. 00:00:00,89.98
20.10.2014. 00:00:00,89.84
1.11.2014. 00:00:00,89.73
10.11.2014. 00:00:00,89.61
20.11.2014. 00:00:00,89.5
1.12.2014. 00:00:00,89.57
10.12.2014. 00:00:00,89.68
20.12.2014. 00:00:00,89.74
1.1.2015. 00:00:00,89.75
10.1.2015. 00:00:00,89.78
20.1.2015. 00:00:00,89.76
1.2.2015. 00:00:00,89.77
10.2.2015. 00:00:00,89.85
20.2.2015. 00:00:00,89.87
1.3.2015. 00:00:00,89.81
10.3.2015. 00:00:00,89.89
20.3.2015. 00:00:00,90.01
1.4.2015. 00:00:00,90.25
10.4.2015. 00:00:00,90.29
20.4.2015. 00:00:00,90.41
10.6.2015. 00:00:00,89.08
20.6.2015. 00:00:00,89.0
1.7.2015. 00:00:00,89.0
10.7.2015. 00:00:00,88.96
20.7.2015. 00:00:00,88.84
20.8.2015. 00:00:00,88.55
20.9.2015. 00:00:00,88.41
1.10.2015. 00:00:00,88.38
10.10.2015. 00:00:00,88.38
20.10.2015. 00:00:00,88.39
1.12.2015. 00:00:00,88.36
10.12.2015. 00:00:00,88.38
20.12.2015. 00:00:00,88.35
1.1.2016. 00:00:00,88.35
10.1.2016. 00:00:00,88.53
20.1.2016. 00:00:00,88.51
1.2.2016. 00:00:00,88.57
10.2.2016. 00:00:00,88.63
20.2.2016. 00:00:00,88.62
1.3.2016. 00:00:00,88.69
10.3.2016. 00:00:00,88.87
20.3.2016. 00:00:00,88.95
1.4.2016. 00:00:00,89.05
1.5.2016. 00:00:00,89.52
10.5.2016. 00:00:00,89.35
20.5.2016. 00:00:00,89.65
1.6.2016. 00:00:00,89.6
10.6.2016. 00:00:00,89.35
20.6.2016. 00:00:00,89.35
1.7.2016. 00:00:00,89.2
10.7.2016. 00:00:00,89.25
20.7.2016. 00:00:00,89.3
1.8.2016. 00:00:00,89.15
10.8.2016. 00:00:00,89.15
20.8.2016. 00:00:00,89.05
1.9.2016. 00:00:00,88.95
10.9.2016. 00:00:00,88.85
20.9.2016. 00:00:00,88.8
1.10.2016. 00:00:00,88.65
10.10.2016. 00:00:00,88.8
20.10.2016. 00:00:00,88.85
1.11.2016. 00:00:00,88.75
10.11.2016. 00:00:00,89.05
20.11.2016. 00:00:00,89.15
1.12.2016. 00:00:00,89.05
10.12.2016. 00:00:00,88.75
20.12.2016. 00:00:00,88.63
1.1.2017. 00:00:00,88.7
10.1.2017. 00:00:00,88.8
20.1.2017. 00:00:00,89.05
1.2.2017. 00:00:00,88.65
10.2.2017. 00:00:00,88.75
20.2.2017. 00:00:00,88.55
1.3.2017. 00:00:00,88.75
10.3.2017. 00:00:00,88.3
20.3.2017. 00:00:00,88.35
1.4.2017. 00:00:00,88.35
10.4.2017. 00:00:00,88.5
20.4.2017. 00:00:00,88.85
1.5.2017. 00:00:00,88.55
10.5.2017. 00:00:00,88.85
20.5.2017. 00:00:00,88.65
1.6.2017. 00:00:00,88.65
10.6.2017. 00:00:00,88.85
20.6.2017. 00:00:00,88.15
1.7.2017. 00:00:00,88.25
10.7.2017. 00:00:00,88.45
20.7.2017. 00:00:00,88.3
1.8.2017. 00:00:00,88.15
10.8.2017. 00:00:00,88.25
20.8.2017. 00:00:00,88.1
1.9.2017. 00:00:00,88.05
10.9.2017. 00:00:00,87.95
20.9.2017. 00:00:00,87.9
1.10.2017. 00:00:00,88.05
10.10.2017. 00:00:00,88.05
20.10.2017. 00:00:00,87.95
1.11.2017. 00:00:00,88.15
10.11.2017. 00:00:00,87.75
20.11.2017. 00:00:00,87.4
1.12.2017. 00:00:00,87.55
10.12.2017. 00:00:00,88.05
20.12.2017. 00:00:00,88.0
